x,y,z
3,70,-0.468883037567
3,71,-0.494285643101
3,72,-0.85620123148
3,73,-1.30715310574
3,74,-1.41969513893
3,75,-2.77814412117
3,76,-6.50740337372
3,77,-7.2381772995
3,78,-7.61384057999
3,79,-7.93226242065
3,80,-8.21997833252
3,81,-8.74581813812
3,82,-9.31366443634
3,83,-9.74959945679
3,84,-10.0828704834
3,85,-10.5149297714
3,86,-10.9118881226
3,87,-11.2205238342
3,88,-11.8035097122
3,89,-11.5286712646
3,90,-11.6250514984
3,91,-11.76583004
3,92,-12.0577812195
3,93,-12.2269411087
3,94,-12.4468460083
3,95,-12.7140340805
4,0,29.6908340454
4,1,33.6429786682
4,2,61.2376365662
4,3,80.3287734985
4,4,89.5793075562
4,5,88.2582015991
4,6,33.0401802063
4,7,2.85638594627
4,8,-12.4760255814
4,9,-18.0896224976
4,10,-20.9987010956
4,11,-26.3108310699
4,12,-38.6851806641
4,13,-41.8741798401
4,14,-44.4719619751
4,15,-44.2903289795
4,16,-45.0853500366
4,17,-46.0741348267
4,18,-44.5646972656
4,19,-46.6641921997
4,20,-45.2539138794
4,21,-45.8714256287
4,22,-43.0039100647
4,23,-41.6418380737
4,24,-42.2488136292
4,25,-45.764377594
4,26,-47.8425559998
4,27,-51.1430778503
4,28,-49.433303833
4,29,-29.4948043823
4,30,-24.0621051788
4,31,-20.5024967194
4,32,-19.3523464203
4,33,-10.5451841354
4,34,-1.59863591194
4,35,1.17549435082e-38
4,36,1.17549435082e-38
4,37,58.0486679077
4,38,66.308380127
4,39,50.4079360962
4,40,50.7538566589
4,41,53.9376792908
4,42,29.028837204
4,43,9.05461978912
4,44,8.08996200562
4,45,7.67293930054
4,46,7.71507978439
4,47,7.78794050217
4,48,7.6437625885
4,49,5.6925868988
4,50,5.09927892685
4,51,10.8568630219
4,52,12.0258045197
4,53,8.07647037506
4,54,4.9398317337
4,55,2.53813719749
4,56,2.03564667702
4,57,1.43277919292
4,58,0.947515964508
4,59,0.41663518548
4,60,1.17549435082e-38
4,61,1.17549435082e-38
4,62,1.17549435082e-38
4,63,1.11220638724e-38
4,64,3.88558063771e-39
4,65,3.03207636776e-39
4,66,2.69344418607e-39
4,67,0
4,68,0
4,69,0
4,70,0
4,71,0
4,72,-0.175969809294
4,73,-0.362864732742
4,74,-0.388315439224
4,75,-0.391919016838
4,76,-0.412941813469
4,77,-0.426634758711
4,78,-0.439865231514
4,79,-0.470377206802
4,80,-0.517018139362
4,81,-4.02890062332
4,82,-5.45219516754
4,83,-7.41542959213
4,84,-8.12939834595
4,85,-8.76473617554
4,86,-9.26029396057
4,87,-9.73411941528
4,88,-10.2446184158
4,89,-10.3936471939
4,90,-10.6849851608
4,91,-10.8907194138
4,92,-11.2407512665
4,93,-11.5408802032
4,94,-11.686706543
4,95,-11.9189786911
5,0,34.7561073303
5,1,39.5373306274
5,2,45.3177719116
5,3,91.5933303833
5,4,122.31917572
5,5,100.827407837
5,6,45.0360565186
5,7,2.76690006256
5,8,-10.5070905685
5,9,-20.0291671753
5,10,-25.1592674255
5,11,-32.9834289551
5,12,-45.0925369263
5,13,-48.0210609436
5,14,-48.4173278809
5,15,-48.0474052429
5,16,-48.4187698364
5,17,-49.4198303223
5,18,-45.9451789856
5,19,-50.4532623291
5,20,-48.8304252625
5,21,-48.2454147339
5,22,-43.4546165466
5,23,-44.7112693787
5,24,-43.8449668884
5,25,-46.6548805237
5,26,-49.4018478394
5,27,-55.0250358582
5,28,-47.2014198303
5,29,-35.4640464783
5,30,-22.5342254639
5,31,-19.1017093658
5,32,-11.0034322739
5,33,-3.02683568001
5,34,-0.043316539377
5,35,1.17549435082e-38
5,36,13.2972993851
5,37,78.9227294922
5,38,98.1584014893
5,39,65.7085266113
5,40,60.7585029602
5,41,60.3835220337
5,42,51.4169960022
5,43,26.3183021545
5,44,11.2787094116
5,45,11.4094190598
5,46,10.296380043
5,47,11.7295198441
5,48,8.92543029785
5,49,9.08512783051
5,50,10.0785007477
5,51,10.3495750427
5,52,7.4993596077
5,53,6.83227348328
5,54,6.68048858643
5,55,7.52032709122
5,56,10.0161266327
5,57,8.96634197235
5,58,9.40253162384
5,59,10.320857048
5,60,5.27084112167
5,61,2.36380434036
5,62,2.01540112495
5,63,1.58200252056
5,64,0.191331520677
5,65,0.379577696323
5,66,0.341844171286
5,67,1.17549435082e-38
5,68,0.281015396118
5,69,1.08839482308e-38
5,70,7.05949783734e-39
5,71,2.99049563843e-39
5,72,0
5,73,0
5,74,0
5,75,0
5,76,0
5,77,0
5,78,0
5,79,0
5,80,0
5,81,0
5,82,0
5,83,0
5,84,-0.0787983387709
5,85,-0.117463044822
5,86,-0.472475647926
5,87,-2.86767816544
5,88,-5.16742134094
5,89,-7.95316886902
5,90,-9.03590774536
5,91,-9.58015537262
5,92,-10.2015304565
5,93,-10.4857234955
5,94,-10.7746448517
5,95,-11.0408706665
6,0,43.2457504272
6,1,80.2170715332
6,2,53.999786377
6,3,87.8509216309
6,4,154.817398071
6,5,136.509185791
6,6,78.3472824097
6,7,3.48999500275
6,8,-4.16792345047
6,9,-18.5710086823
6,10,-31.2535152435
6,11,-38.8080635071
6,12,-54.1611442566
6,13,-52.5670547485
6,14,-52.8768157959
6,15,-52.9312019348
6,16,-51.6891822815
6,17,-51.7150917053
6,18,-51.0061721802
6,19,-53.0301208496
6,20,-48.1683273315
6,21,-47.6388168335
6,22,-43.8227310181
6,23,-44.8538284302
6,24,-45.3847503662
6,25,-47.4605407715
6,26,-52.6379737854
6,27,-56.5385093689
6,28,-44.720790863
6,29,-29.9100532532
6,30,-24.9277210236
6,31,-14.7168455124
6,32,-13.6402292252
6,33,-1.0867638588
6,34,1.17549435082e-38
6,35,5.79920434952
6,36,50.5987014771
6,37,89.0226593018
