id,osmid,name,lanes,len,maxUsed
6527,67383872,Helen Market Trail,,73,2.0
6528,67384114,Benstein Trail,,72,1.0
6529,67385532,High Marsh Trail,,104,3.0
6530,67395842,C-Dock,,1,1.0
6531,67458907,CC Boys Trail,,39,2.0
6532,67458909,CC Boys Trail,,13,2.0
6533,68313654,Battery East Road,,16,2.0
6534,68313655,Battery East Road,,4,2.0
6535,68313662,Washington Boulevard,,28,3.0
6536,68314159,Clay Street,,1,1.0
6537,68585729,CC Boys Trail,,15,1.0
6538,68588192,Lower Northside Trail,,55,2.0
6539,68588194,Lower Northside Trail,,44,4.0
6540,68589333,Collier Trail,,99,1.0
6541,68832702,Hesperian Boulevard,,10,1.0
6542,68899638,3rd Avenue,,9,2.0
6543,69020102,Lovers&apos; Lane,,4,2.0
6544,69200219,Ecology Trail,,24,3.0
6545,69206194,Weiler Ranch Trail,,50,2.0
6546,69206197,Weiler Ranch Trail,,13,2.0
6547,69206235,Valley View Trail,,165,2.0
6548,69206337,Hazelnut Trail,,326,2.0
6549,69312746,Shafter Avenue,,13,2.0
6550,69312751,Griffith Street,,3,1.0
6551,69312756,Underwood Avenue,,11,2.0
6552,69312758,Hawes Street,,3,2.0
6553,69312761,Armstrong Avenue,,13,2.0
6554,69314227,Hudson Avenue,,1,1.0
6555,69314259,West Point Road,,13,2.0
6556,69342171,Lyon Street,,6,4.0
6557,69420767,5th Avenue,,3,1.0
6558,69420770,5th Avenue,,1,2.0
6559,69420772,5th Avenue,,3,3.0
6560,69421635,5th Avenue,,1,1.0
6561,69589677,Palo Alto Avenue,,1,3.0
6562,69598564,Galvez Avenue,,3,3.0
6563,69598565,Donahue Street,,2,3.0
6564,69609322,Live Oak Terrace,,23,2.0
6565,69682479,Dover Way,,1,1.0
6566,69682481,Tanglewood,,11,2.0
6567,69682482,Hampden Way,,2,2.0
6568,69682483,Grandbury Drive,,2,1.0
6569,69682484,Tanglewood,,13,2.0
6570,69682485,Salisbury Way,,1,2.0
6571,69682486,Hampden Way,,1,2.0
6572,69682487,Tanglewood Circle,,103,2.0
6573,69682491,Derby Court,,3,1.0
6574,69682493,Camden Circle,,1,1.0
6575,69682495,Court View,,2,1.0
6576,69682496,Paintbrush Plaza,,3,1.0
6577,69682500,Scotchbrook Plaza,,3,1.0
6578,69682501,Salisbury Way,,2,2.0
6579,69682502,Windsor Court,,3,2.0
6580,69682503,Derby Court,,6,2.0
6581,70051598,Duboce Avenue,,6,4.0
6582,70051604,Olympia Way,,2,3.0
6583,70051608,Clarendon Avenue,,8,3.0
6584,70051617,Olympia Way,,5,2.0
6585,70051621,Olympia Way,,3,2.0
6586,70051630,Duboce Avenue,,1,2.0
6587,70051634,Olympia Way,,1,2.0
6588,70077931,Peter Macchiarini Steps,,2,2.0
6589,70077932,Peter Macchiarini Steps,,2,2.0
6590,70689696,Coastal Trail,,12,2.0
6591,70810668,Richmond Greenway,,3,1.0
6592,70906167,Elliot Street,,2,2.0
6593,70948820,Hang Ah Alley,,3,2.0
6594,71061577,Carlos Bee Boulevard,,11,4.0
6595,71068723,Carlos Bee Boulevard,,11,1.0
6596,71068821,Mission Boulevard,,4,1.0
6597,71611416,Junipero Serra Freeway,4,1,1.0
6598,72024272,Broadway Street,,7,3.0
6599,72024282,Broadway Street,,2,3.0
6600,72192066,Ralston Avenue,,11,2.0
6601,72654485,Santa Barbara Path,,1,1.0
6602,72981813,Broadway Street,,4,3.0
6603,73153700,Wylvale Ave,,1,1.0
6604,74002134,Path #6,,1,2.0
6605,74002137,Path #6,,1,2.0
6606,74002139,Path #6,,2,2.0
6607,74002142,Path #6,,7,1.0
6608,74002144,Path #6,,2,2.0
6609,74466542,Junipero Serra Freeway,4,16,2.0
6610,74466543,Junipero Serra Freeway,4,2,2.0
6611,74466784,Junipero Serra Freeway,4,1,2.0
6612,74466806,Junipero Serra Freeway,4,11,2.0
6613,75378561,San Francisco Bay Trail,,6,2.0
6614,75378569,San Francisco Bay Trail,,17,2.0
6615,75381888,Aleppo Drive,,5,2.0
6616,75381931,Mandarin Avenue,,11,2.0
6617,75381943,Acorn Place,,6,1.0
6618,75382044,Aleppo Drive,,5,2.0
6619,75611236,East 12th Street,,5,2.0
6620,75650646,Chown Trail,,102,2.0
6621,76278462,Bellevue Avenue,,6,1.0
6622,76816376,Estates Drive,,4,1.0
6623,77449304,Kate Street,,1,2.0
6624,77842486,University Avenue,,1,1.0
6625,78063406,Santa Clara Avenue,,1,1.0
6626,78252551,Clipper Street,,6,3.0
6627,79292570,Five Canyons Parkway,,8,2.0
6628,79580210,Tennessee Valley Road,,41,1.0
6629,79765680,10th Street,,7,2.0
6630,80214747,Bollinger Creek Loop Trail,,105,2.0
6631,80214751,Mahogany Trail,,1,2.0
6632,80214753,Bollinger Creek Loop Trail,,33,2.0
6633,80214757,Last Trampas Ridge Trail,,116,2.0
6634,80214761,Calaveras Ridge Trail,,88,3.0
6635,80214763,Rocky Ridge View,,88,2.0
6636,80214765,Mahogany Trail,,1,1.0
6637,80214766,Bollinger Creek Loop Trail,,19,1.0
6638,80215188,Elderberry,,1,1.0
6639,80215189,Elderberry,,38,1.0
6640,80215190,Cuesta,,44,1.0
6641,80215191,Ridge View Trail,,51,3.0
6642,80215192,Rocky Ridge Loop Trail (EBMUD),,136,3.0
6643,80215193,Cuesta,,147,2.0
6644,80215195,Elderberry,,69,1.0
6645,80215197,Rocky Ridge Shorcut Trail,,38,2.0
6646,80215200,Elderberry Trail,,49,2.0
6647,80215201,Elderberry,,1,2.0
6648,80215202,Rocky Ridge View Trail (EBRPD),,98,2.0
6649,80215208,Elderberry,,28,2.0
6650,80215421,Ridge View Trail,,92,2.0
6651,80215422,Devil&apos;s Hole Trail,,1,1.0
6652,80215423,EBMUD/EBRPD Connector Trail,,33,2.0
6653,80215425,Sycamore Trail,,64,1.0
6654,80215427,Sycamore Trail,,153,2.0
6655,80215428,Devil&apos;s Hole Trail,,62,1.0
6656,80215433,Ramage Peak Trail,,56,1.0
6657,80215732,Water Tank Trail,,43,1.0
6658,80215733,Sulphur Springs Trail,,52,1.0
6659,80215737,Las Trampas Ridge Trail,,177,1.0
6660,80217373,Danville Fire Trail,,44,1.0
6661,80270719,Redtail Trail,,99,2.0
6662,80283756,Deer Canyon Trail,,15,2.0
6663,80283766,Redtail Trail,,24,2.0
6664,80283788,Escondido Trail,,79,2.0
6665,80283791,Two Rocks Trail,,30,2.0
6666,80283814,Goldenrod Trail,,63,2.0
6667,80283816,Columbine Trail,,16,2.0
6668,80283820,Brandon Trail,,40,2.0
6669,80283822,Cascade Trail,,72,3.0
6670,80283824,Columbine Trail,,28,3.0
6671,80283832,Brandon Trail,,25,3.0
6672,80283834,Brandon Trail,,1,3.0
6673,80283838,Grass Valley Trail,,66,3.0
6674,80283849,Cottontail Trail,,28,2.0
6675,80474893,Ye Olde School Trail,,15,2.0
6676,80478618,Public Path #7,,1,2.0
6677,81373511,Oakridge Steps,,1,1.0
6678,82104401,Westgate Parkway,,1,2.0
6679,82154164,Moonstone Terrace,,3,2.0
6680,82154166,Canelian Terrace,,4,2.0
6681,82154168,Amber Terrace,,2,2.0
6682,82154170,Green Street,,1,2.0
6683,82154171,Pearl Terrace,,0,0
6684,82154173,Moonstone Terrace,,3,4.0
6685,82154175,Moonstone Terrace,,3,2.0
6686,82154176,Aquamarine Terrace,,3,4.0
6687,82154177,Aquamarine Terrace,,3,2.0
6688,82154178,Garnet Terrace,,1,2.0
6689,82154184,Berger Way,,3,2.0
6690,82154186,Cheeves Way,,6,2.0
6691,82207077,Black Point Pier,,9,2.0
6692,82235723,Warren Freeway,2,21,2.0
6693,82235734,Warren Freeway,2,2,2.0
6694,82235735,Moraga Avenue,,6,1.0
6695,82235737,Moraga Avenue,,3,2.0
6696,82235762,Warren Freeway,2,2,2.0
6697,82249880,Amethyst Terrace,,3,2.0
6698,82249881,Aquamarine Terrace,,3,4.0
6699,82250307,Governo Drive,,3,2.0
6700,82360373,Westgard Street,,1,1.0
6701,82360374,Boyle Street,,1,1.0
6702,82360375,Stone Street,,1,1.0
6703,82362112,San Francisco Bay Trail,,84,2.0
6704,82362113,Alameda Creek Trail,,71,1.0
6705,82362114,Alameda Creek Trail,,1,2.0
6706,82456755,Emeryville Greenway,,3,1.0
6707,82486633,Owens Street,2,16,3.0
6708,82486634,Channel Street,,2,1.0
6709,82486740,CA 84 Option 2,,2,2.0
6710,82487115,Mission Bay Drive,2,16,1.0
6711,82487117,Long Bridge Street,,9,3.0
6712,82487553,4th Street,,3,4.0
6713,82590289,Mesa Cir,,3,2.0
6714,82590291,Veranda Cir,,3,2.0
6715,82590293,Chase Ave,,3,2.0
6716,82590296,Charing St,,2,2.0
6717,82590298,Kingsford Way,,8,2.0
6718,82590307,Grand Terrace,,7,2.0
6719,82590309,Evanswood Rd,,4,2.0
6720,82590311,Arcadia Drive,,3,2.0
6721,82591348,Atherton St,,1,2.0
6722,82591349,Paseo Pl,,2,2.0
6723,82591559,City Walk Place,,7,2.0
6724,82591560,City Walk Place,,1,2.0
6725,82660225,Firehouse Lane,,5,1.0
6726,82693403,Burbank St,,4,3.0
6727,82693404,Martin Luther King Dr,,14,3.0
6728,82693405,Meekland Avenue,,3,1.0
6729,83149248,Caldecott Tunnel,2,4,1.0
6730,83328269,Alvarado Niles Road,,1,1.0
6731,83462740,Cooley Avenue,,1,1.0
6732,83886556,Westgate Parkway,,2,3.0
6733,83886573,Westgate Parkway,,6,1.0
6734,83886574,Westgate Parkway,,3,4.0
6735,83886575,Timothy Drive,,2,2.0
6736,83886576,Timothy Drive,,2,4.0
6737,83886577,Timothy Drive,,1,2.0
6738,83886578,Timothy Drive,,5,2.0
6739,84458047,Fern Creek Trail,,89,2.0
6740,84458064,Fern Creek Trail,,3,3.0
6741,84458073,Fern Creek Trail,,1,2.0
6742,84458076,Fern Creek Trail,,1,2.0
6743,84515928,Ye Olde School Trail,,8,1.0
6744,84526756,Martin Luther King Dr,,5,3.0
6745,84526757,Madison Street,,2,3.0
6746,84654228,Van Ness Avenue,3,9,3.0
6747,84654229,Geary Boulevard,,3,4.0
6748,84654235,Gough Street,,7,4.0
6749,84654238,Powell Street,,8,4.0
6750,84674049,Mahogany Row,,3,2.0
6751,84674050,Mahogany Row,,19,3.0
6752,84733257,Scott Street,,1,4.0
6753,84733258,Steiner Street,,1,4.0
6754,84733260,Geary Boulevard,,4,3.0
6755,84733265,Buchanan Street,,1,2.0
6756,84733269,Geary Boulevard,,1,2.0
6757,84733273,Geary Boulevard,,1,2.0
6758,84733275,Webster Street,,3,4.0
6759,84733278,Geary Boulevard,,2,3.0
6760,84733283,Geary Boulevard,,2,3.0
6761,84733284,Geary Boulevard,,4,3.0
6762,84733287,Geary Boulevard,,1,3.0
6763,84733289,Laguna Street,,1,4.0
6764,84733291,Steiner Street,,6,4.0
6765,84733294,Webster Street,,15,4.0
6766,84733296,Geary Boulevard,,1,4.0
6767,84733299,Geary Boulevard,,3,2.0
6768,84733302,Scott Street,,19,4.0
6769,84733303,Laguna Street,,1,4.0
6770,84733307,Geary Boulevard,,6,4.0
6771,84733309,Geary Boulevard,,3,2.0
6772,84733311,Steiner Street,,1,4.0
6773,84733312,Geary Boulevard,,4,4.0
6774,84733316,Geary Boulevard,,12,2.0
6775,84733318,Steiner Street,,1,4.0
6776,84734271,Geary Street,,8,4.0
6777,84788981,Muir Loop,,6,2.0
6778,84805680,Rhode Island Street,,6,4.0
6779,84805682,Kansas Street,,19,2.0
6780,84805689,Carolina Street,,6,3.0
6781,84809557,Ye Olde School Trail,,2,1.0
6782,84809749,Path #8,,3,1.0
6783,84812351,Southern Connector  Street,,1,2.0
6784,84823308,Townsend Street,,3,4.0
6785,85550235,Marchant Diary Path,,2,1.0
6786,85562483,Octavia Street,,3,4.0
6787,85562484,Richardson Avenue,3,2,3.0
6788,85562487,Lombard Street,3,4,4.0
6789,85562488,Gough Street,,1,4.0
6790,85562490,Lombard Street,3,3,4.0
6791,85562492,Richardson Avenue,3,2,4.0
6792,85562494,Laguna Street,,5,3.0
6793,85562496,Richardson Avenue,3,1,5.0
6794,85562498,Lombard Street,3,3,4.0
6795,85562500,Lombard Street,3,2,2.0
6796,85562503,Lombard Street,3,3,4.0
6797,85562505,Lombard Street,3,3,4.0
6798,85562507,Lombard Street,3,3,4.0
6799,85562509,Divisadero Street,,9,4.0
6800,85562513,Richardson Avenue,3,4,4.0
6801,85562514,Lombard Street,3,3,4.0
6802,85562519,Buchanan Street,,3,2.0
6803,85562521,Steiner Street,,1,4.0
6804,85562522,Lombard Street,3,3,4.0
6805,85562526,Scott Street,,1,4.0
6806,85562528,Lombard Street,3,3,4.0
6807,85562530,Divisadero Street,,1,4.0
6808,85562531,Webster Street,,10,4.0
6809,85562534,Lombard Street,3,2,4.0
6810,85562537,Pierce Street,,8,2.0
6811,85562538,Chestnut Street,,2,3.0
6812,85562541,Lombard Street,3,3,4.0
6813,85562543,Buchanan Street,,1,4.0
6814,85562546,Fillmore Street,,6,4.0
6815,85562549,Gough Street,,19,3.0
6816,85562550,Broderick Street,,2,4.0
6817,85562552,Lombard Street,,2,3.0
6818,85562554,Lombard Street,3,2,4.0
6819,85562555,Octavia Street,,1,4.0
6820,85562557,Webster Street,,1,4.0
6821,85562559,Franklin Street,,1,4.0
6822,85562560,Pierce Street,,1,4.0
6823,85562562,Lombard Street,3,4,3.0
6824,85562564,Lombard Street,3,3,4.0
6825,85562568,Laguna Street,,1,4.0
6826,85562571,Francisco Street,,1,4.0
6827,85562572,Lombard Street,3,2,4.0
6828,85562575,Fillmore Street,,1,4.0
6829,85562576,Richardson Avenue,3,1,4.0
6830,85562579,Chestnut Street,,1,5.0
6831,85562580,Lombard Street,3,3,4.0
