id,lon,lat,streets,alt
61901,-122.4384191,37.7623024,Eureka & 17th,49.34024811
60794,-122.437319,37.789422,Pierce & Sacramento,61.37710953
60793,-122.435673,37.789629,Sacramento & Steiner,60.2721138
60792,-122.434027,37.789837,Sacramento & Fillmore,63.00547028
58461,-122.4324361,37.7345538,Castro & Chenery,65.11569214
62160,-122.427189,37.715748,La Grande,96.3940506
189183,-122.5002278,37.7793449,Geary,81.73690033
144968,-122.3881516,37.7418856,3rd & Fairfax,4.354985714
144971,-122.3889795,37.7395039,Innes & 3rd,6.041674137
144969,-122.3884261,37.7410761,Galvez & 3rd,4.916398525
144970,-122.3887018,37.7402882,Hudson & 3rd,5.368153095
144972,-122.3892578,37.7387126,Jerrold & 3rd,8.452507019
64748,-122.4446876,37.7578613,Iron & Corbett,132.3874512
73068,-122.4396712,37.7303161,Baden & Circular & Baden,60.48241806
71140,-122.432254,37.755423,Hill & Noe,94.97187805
67815,-122.4473223,37.7825424,Masonic & Geary,86.01767731
67816,-122.447561,37.7824543,Geary,84.02825165
145109,-122.4715422,37.7618829,14th & Judah,74.06535339
145108,-122.4704687,37.761929,Funston & Judah,77.45734406
145107,-122.4694048,37.7619747,12th & Judah,79.97728729
145106,-122.4683318,37.7620208,11th & Judah,80.10458374
145112,-122.475918,37.761695,18th & Judah,75.96485901
145111,-122.4748633,37.7617403,17th & Judah,79.81529999
145110,-122.4726602,37.7618349,15th & Judah,78.61669159
57654,-122.473747,37.806631,Lincoln & Hoffman,49.37169647
57653,-122.473604,37.80634,Hoffman & Armistead,58.63003159
265171,-122.4479921,37.8010331,Richardson & Lyon,8.974366188
56782,-122.4133659,37.7509456,Lucky & 25th,21.71934891
56781,-122.412862,37.7509762,Treat & 25th,21.42964554
56780,-122.4117672,37.7510425,Harrison & 25th,19.6832943
410487,-122.465243,37.8020711,Presidio Parkway,28.81365204
410486,-122.4697323,37.8030787,Presidio Parkway,44.56147766
56857,-122.4416489,37.7642093,Ord Court,96.44850159
411619,-122.3868432,37.7250555,Wallace,3.407877207
57758,-122.4561183,37.7182419,Lakeview & Plymouth,131.6500702
59895,-122.3940776,37.7925427,Mission & Spear,2.72618413
57940,-122.473495,37.759331,Lawton & 16th,131.6379242
57941,-122.473698,37.7581,Lawton & 16th,130.8223114
65172,-122.4522501,37.718771,Ridge & Howth,125.51194
589445,-122.4040595,37.7569947,Vermont & 22nd,33.11540985
60743,-122.4480351,37.7097056,Whittier & Cassandra Court,97.82876587
60742,-122.4483901,37.7103626,Whittier & Morse & Mission,92.94017029
60744,-122.4479121,37.7094776,Whittier & Crescio Court,99.35835266
250301,-122.4506663,37.7781088,Kittredge Terrace & Turk,104.3611679
250299,-122.4524388,37.7779008,Temescal Terrace & Turk,102.5057983
250300,-122.4515494,37.7780059,Chabot Terrace & Turk,107.9009399
60122,-122.4976224,37.764597,38th & Lincoln,36.08321381
195830,-122.388763,37.7524771,Tennessee,7.334228039
195831,-122.3911647,37.7526361,Iowa & 25th,12.32332897
71361,-122.5106851,37.7819076,El Camino del Mar,64.71898651
56574,-122.4313541,37.7366312,Roanoke & Moffitt & Bemis,103.6809006
56575,-122.430806,37.7361001,Roanoke & Laidley,89.79730988
71406,-122.4834224,37.7906334,Gibson,12.25956917
338414,-122.4365353,37.7649644,Beaver & De Forest,78.65917969
56302,-122.4713236,37.71258,Junipero Serra,58.32557297
56301,-122.4200941,37.7083175,Santos & Geneva,38.04491425
58088,-122.4517246,37.7456049,Woodside & Portola,180.17836
62765,-122.4582103,37.7236579,De Montfort & Miramar,88.04134369
