id,lon,lat,alt
884816,-122.4570839,37.7164556,119.74936676
1189553,-122.4674556,37.8036836,5.34599065781
1400097,-122.4059669,37.7930051,25.7320346832
59814,-122.432299,37.767528,45.862487793
59813,-122.4324821,37.7692522,49.9527549744
65548,-122.4392476,37.7461884,166.495193481
150570,-122.3886289,37.7894889,2.75693321228
234295,-122.5046358,37.7342722,5.86837911606
870754,-122.4512915,37.7282288,101.40322876
67332,-122.4260016,37.8002087,22.4054336548
67331,-122.4244275,37.8004094,33.3052558899
67330,-122.4210696,37.8008319,75.0255050659
69835,-122.425578,37.739795,64.9310913086
279539,-122.4031187,37.7883802,12.7278137207
66813,-122.445495,37.720866,64.9458084106
66814,-122.4420293,37.7293468,57.8250045776
330928,-122.3970662,37.7749804,1.84060811996
333276,-122.457058,37.710061,94.5365829468
68971,-122.4618411,37.7287206,139.353607178
68972,-122.4615667,37.7293195,143.581344604
1396717,-122.4114274,37.7762265,8.69026851654
69517,-122.4879638,37.7309402,34.0626296997
190607,-122.3897435,37.7745617,2.65105938911
668298,-122.3954084,37.7107698,20.184677124
439648,-122.4098099,37.7691614,5.60994720459
330632,-122.4766082,37.8107033,2.258248806
66710,-122.4089978,37.7910906,58.2268333435
66709,-122.4089391,37.7908164,54.6298332214
63896,-122.4021302,37.727794,19.6090641022
63895,-122.4019684,37.7279633,19.849363327
70926,-122.400118,37.788958,7.02049064636
73602,-122.425733,37.726708,103.551292419
73603,-122.426912,37.725151,111.144882202
56909,-122.468975,37.786483,49.1165313721
56910,-122.4700443,37.786437,48.2465286255
56911,-122.4721852,37.786336,45.5298118591
59943,-122.428695,37.753225,65.2021942139
59944,-122.4286276,37.7523843,61.5543708801
59945,-122.4285479,37.751637,56.6337661743
65600,-122.4416502,37.7172143,62.8319549561
56769,-122.4731989,37.713968,59.0621986389
1389294,-122.4053063,37.7542731,20.6494979858
61404,-122.392358,37.732488,32.7993774414
64969,-122.4493794,37.7373382,184.543441772
868940,-122.5067047,37.7670102,17.3796730042
65901,-122.4115996,37.7668398,9.09375572205
65900,-122.3981918,37.7963597,2.71245002747
65902,-122.4114756,37.7655468,10.0984125137
1057617,-122.3941325,37.7873699,11.7161502838
1080464,-122.4106137,37.7829021,12.9288597107
66174,-122.3901698,37.7573865,10.8744354248
66173,-122.39021,37.757826,11.7322444916
66170,-122.3894844,37.7501725,4.29413080215
61605,-122.4516254,37.7210858,107.543357849
67902,-122.4371885,37.7722115,62.4141349792
880344,-122.4525257,37.7635989,105.891571045
64582,-122.4462201,37.7390928,193.659317017
64579,-122.4469882,37.7396418,195.445800781
64580,-122.446728,37.7395517,194.930236816
72216,-122.4100643,37.7090742,9.97005081177
72218,-122.408582,37.767028,20.6025981903
70733,-122.420157,37.7800817,20.5461826324
70731,-122.4153225,37.7807118,16.0418186188
70732,-122.4169614,37.7804935,17.7931652069
75074,-122.4026837,37.7279672,21.6452388763
55099,-122.3864053,37.7111364,8.60274791718
877547,-122.4159485,37.7777841,17.1692390442
66417,-122.3961332,37.7308257,23.4954204559
66416,-122.414785,37.80023,45.3348007202
57519,-122.4156773,37.7991423,77.7240753174
57520,-122.417312,37.798942,88.4540252686
56824,-122.400416,37.752075,54.7585220337
56821,-122.39883,37.752044,55.2119750977
58949,-122.4463859,37.7672224,113.437904358
58950,-122.4472124,37.7671133,111.988288879
