5795;06;015;CENTRE ANDRE MALRAUX;;112;RUE DE RENNES;75006                                                                                                                                               
5796;06;016;ECOLE ELEMENTAIRE;;6;RUE LITTRE;75006                                                                                                                                                       
5797;06;017;ECOLE ELEMENTAIRE;;6;RUE LITTRE;75006                                                                                                                                                       
5798;06;018;ECOLE DES PSYCHOLOGUES PRATICIENS;;23;RUE DU MONTPARNASSE;75006                                                                                                                             
5799;06;019;INSTITUT SAINTE GENEVIEVE;;64;RUE D ASSAS;75006                                                                                                                                             
5800;06;020;INSTITUT NOTRE DAME DE SION;;61;RUE NOTRE DAME DES CHAMPS;75006                                                                                                                             
5801;06;021;INSTITUT NOTRE DAME DE SION;;61;RUE NOTRE DAME DES CHAMPS;75006                                                                                                                             
5802;06;022;ECOLE ALSACIENNE;;109;RUE NOTRE DAME DES CHAMPS;75006                                                                                                                                       
5803;07;001;MAIRIE D'ARRONDISSEMENT;;116;RUE DE GRENELLE;75007                                                                                                                                          
5804;07;002;ECOLE POLYVALENTE;;27;RUE LAS CASES;75007                                                                                                                                                   
5805;07;003;INSTITUTION NATIONALE DES INVALIDES;;6;BOULEVARD DES INVALIDES;75007                                                                                                                        
5806;07;004;INSTITUT D'ETUDES POLITIQUES (EX-ENA);;13;RUE DE L UNIVERSITE;75007                                                                                                                         
5807;07;005;INSTITUT D'ETUDES POLITIQUES (EX-ENA);;13;RUE DE L UNIVERSITE;75007                                                                                                                         
5808;07;006;MAIRIE D'ARRONDISSEMENT;;116;RUE DE GRENELLE;75007                                                                                                                                          
5809;07;007;INSTITUT D'ETUDES POLITIQUES;;27;RUE SAINT GUILLAUME;75007                                                                                                                                  
5810;07;008;ECOLE ELEMENTAIRE;;8;RUE CHOMEL;75007                                                                                                                                                       
5811;07;009;ECOLE ELEMENTAIRE;;42;AVENUE DUQUESNE;75007                                                                                                                                                 
5812;07;010;ECOLE MATERNELLE;;48;RUE VANEAU;75007                                                                                                                                                       
5813;07;011;ECOLE MATERNELLE;;14;RUE EBLE;75007                                                                                                                                                         
5814;07;012;ECOLE ELEMENTAIRE;;42;AVENUE DUQUESNE;75007                                                                                                                                                 
5815;07;013;ECOLE ELEMENTAIRE;;14;RUE EBLE;75007                                                                                                                                                        
5816;07;014;ECOLE ELEMENTAIRE;;10;AVENUE DE LA MOTTE PICQUET;75007                                                                                                                                      
5817;07;015;ECOLE ELEMENTAIRE;;10;AVENUE DE LA MOTTE PICQUET;75007                                                                                                                                      
5818;07;016;COLLEGE JULES ROMAINS;;6;RUE CLER;75007                                                                                                                                                     
5819;07;017;COLLEGE JULES ROMAINS;;6;RUE CLER;75007                                                                                                                                                     
5820;07;018;COLLEGE JULES ROMAINS;;6;RUE CLER;75007                                                                                                                                                     
5821;07;019;CONSERVATOIRE MUNICIPAL DU VIIEME;;135bis;RUE DE L UNIVERSITE;75007                                                                                                                         
5822;07;020;COLLEGE LYCEE LA ROCHEFOUCAULD;;90bis;RUE SAINT DOMINIQUE;75007                                                                                                                             
5823;07;021;ECOLE MATERNELLE;;28;AVENUE RAPP;75007                                                                                                                                                      
5824;07;022;ECOLE ELEMENTAIRE;;1;RUE GENERAL CAMOU;75007                                                                                                                                                
5825;07;023;ECOLE ELEMENTAIRE;;1;RUE GENERAL CAMOU;75007                                                                                                                                                
5826;07;024;GYMNASE MUNICIPAL CAMOU;;35;AVENUE DE LA BOURDONNAIS;75007                                                                                                                                  
5827;08;001;MAIRIE D'ARRONDISSEMENT;;3;RUE DE LISBONNE;75008                                                                                                                                            
5828;08;002;FOYER;;11;RUE MALEVILLE;75008                                                                                                                                                               
5829;08;003;ANNEXE DU LYCEE RACINE;;38;RUE DE NAPLES;75008                                                                                                                                              
5830;08;004;ANNEXE DU LYCEE RACINE;PRÉAU (REZ-DE-CHAUSSÉE);38;RUE DE NAPLES;75008                                                                                                                       
