1945,5818,5878
1947,1264,4713
1948,6430,5159
1950,8145,7830
1951
1952,0514,1952
1957,6042,5212
1959,1960,0464
1960,0780,8146,6183
1962,1799
1964,9050,2110
1966,2384,0812
1969,6498,3669
1972,9785,6256,1451
1974,1388,1052
1976,8068,7015
1978,0702,2517
1980,1671,9023
1982,8327
1984,8095,9829
1985,8029,6392
1986,7458,7142
1988,5306,9389
1989,3401,9438
1990,2656,2555
1992,3540,1176,6465
1993,6779,6455
1994,1068
1996,8860,3028
1999,2384,6187
2000,6675,3267
2001,7302,8772
2002,8772,4687
2004,6072,9829,4682
2007,8055,0603
2009
2011,8276,6098,6066
2012,8021,2578
2014,8561,2928
2015,0649,2118,6592
2016,8482
2017,4246,2593
2018,7084,4068,5923
2019,0605,5788
2031,8682,6456
2033,5055,5328
2040,7625,8888
2041,1895,8871
2042,1557,8341
2043,7610,0553
2044,0517,1388
2046,3903,3542
2047,7018,1907
2048,8845,4219,3775
2050,2342,4935,5953
2052,4916
2055,2814,3540
2057,9816,1374
2058,3488,9656
2072,2112,5439
2075,2351,7001,2328,9898,1715
2076,6517,9496,0702
2078,4161,0738,7402,3643
2079,4976,7606
2080,7015,3995
2081,6977,4049,2232,6798
2082,4967,9978
2083,5411,3620
2084,7554,3571
2085,5175
2086,1068,6247
2087,6276,3824
2088,6072,2903
2089,5362,5411
2090,9728,6578
2091,2814,3540
2092,0215,6991,2225
2094,6066,4502,4378
2095,3488,9728,1795
2096,0829,3637
2098,3590,5138
2100,9957,4066,1736
2101,9743,2317
2103,8545,5801
2104
2106,6376,7378
2107,6375,5503
2108,8813,5230
2109,2110,0785
2110,6444,0785,1103
2112,2115,0918,0938
2113,6066,2115
2114,3745,2113,2112
2115
2116,3401,2115
2118,8265,1727
2119,6845,2119,2119,2119,4542,4900
2121,2122
2122,1984,6633,5191
2124,9821,9948
2125,3818,8293
2127,4272,2539
2129,0395,3684,0400
2131,8118,8916
2137,2371,8783
2139,3129,1544
2141,9216,2756
2142,2555
2143,6947,3762
2145,2151,6947,3403
2146,0780,0274
2147,2620,Y153,5803
2149,3960,6301
2151,1535,2145,9053
2152,0420,6151
2154,2156
2155,5921,6388
2156,3001,2527,6845
2158,8845,3085,7115
2172,7524,7580
2174,8137,0466
2176,4036
2179,5872,1125,8152
2183,7302
2184,7302,2183
2185,9859,8201
2186
2188,1736,3542
2191,8912,3590
2193,2817
2194,8941,4813
2196,3023,2113
2198,2437,3486
2200,3684,1752
2201,8721,5253,5973,5703,4500
2202,8068,0196
2203
2204,4834,5872
2205,3806,7512
2207,4808,9634
2208,5025,5025
2209,7738,0933
2210,2703,4036
2211,0042,8832
2213,1328,6116
2215,2578,8662
2217,2211,0417
2220,9710,0005
2221,0170,8451,4151,9320,1229,0285,8098
2222,7940,3649
2223,8905,4611
2224,5702
2225
2226,8160,8160
2227,8813,4276
2228,2814,5795
2229,5269,0605
2230,9627
2231,8311,3008
2232,7679,2081
2233,7698,5187
2234,8327,8533
2235,2301,4718
2237,5867
2238,5850,1596
2239,3836,0452
2240,7081,4894,7314
2241,0514,3290
2242,0949,6385,0949
2243,Z120,Z130
2244,2247
2245,9841,2247
2246,5418,1604
2247,4272,3313
2248,8761,0304,8845
2249,1266,8916
2251,9492,3658
2252,1388,1379,3393
2254,0829,3639,5754,0544,4516,4451,4300
2257,5835,3019
2258,4758,3870
2260,9683,9643
2261,4392
2262,1736,2263,8375
2263,0345,6874,2262
2264,2263,2263
2266,6813,7950,9671
2268,8146,6607
2270,2271
2271,6098,6066
2273,4642,0232
2276,9791
2278,1888,2578,1799
2280,9701,6070,0307
2282,0885,8206
2284,5523,4899
2285,4915,0829
2286,4639
2288,9557,4276
2289,3478,7833
2290,6894,7195,4956
2291,4139,9002,5772,4987
2294,9490,6426,9663
2296,2297
2297,2593,6659,0457
2299,6524
2301,7575,1880
2302,6072,5463
2306,8311,2289
2308,5055,9762
2309,2308
2311,1031,9671
2313,8897
2314,8971,9732
2315,2317,5766
2317,4914,2446
2321,1799,2464
2324,0877,0872
2326,0227,1880
2328,0380,2351,7001
2329,3795,3026,3026
2331,7897
2332,5803,7694
2333,6688,0872
2336,2759
2337,6814,7059
2338,9955,9231
2340,8573,0268
2342,0400,0399,6918,1750
2344,8501,7717
2347,6392,8474
2349,9423,5648
2351,5498,0517
2353,8525,7415
2354,2684,0159,8068,7015,9347,9835,0859
2356,7018,3522
2357,3510,3676
2359,3001,5921
2360,1799,3540,2464
2362,8029,1985
2364,0170,8468
2367,4036,4825
2371,2137,8426
2376,9819,7833,9171
2377,5110
2382,9634,7841
2384,7177,7897
2386,7841,1898
2388,4971,4758
2391,0828,4406
2393,8809,9075
2395,8662,9761
2398,5486,3718
2399,8845,9557
2401,2113,5523
2402,8229,9764
2404,9277,9778
2406,1891
2408,4567,4161
2409,3409,5921
2415,1984
2422,2266,6814
2423,8482
2424,0285
2426,0877,5795
2429,6802,6185
2431,1057,5200
2433,1367,3711
2435,6501,0440
2436,2437,2491
2437,3641,0495,3979
2439,9791
2440,6069,5187
2441,9696,6894
2443,6455
2445,8556,6444
2446,8860,9749
2448,3718,8327
2450,9925,4761
2451,9440,9150
2452,1443,9671
2453,2452,1444
2456,5912,2608
2458,2913,1880,6498
2459,4015,6276
2461,4161,2351
2463,2464
2464,2203,2360,3540
2466,6802,2467
2467,9157,3716
2481,9332,4461
2483,6947,8929
2486,9490,8916
2488,6566,9984
2489,1772
2490,8223,1441
2492,7743,0649,6392
2493,2491,0495
2494,8778,4065,5635
2496,8525,9490,6354
2497,4273,0988
2499,3804,5921
2502,4403,7897
2503,7363,7362
2505,4036,5850
2509,8779,3508
2511,6166,6372
2512,0038,4139,1318
2513,3050,6072
2515,9671,3522
2516,2112,5578
2518,2519
2519,9320,5025
2521,3749,0036
2523,0697,2598
2525,0411,4147
2527,4899,0834
2528,2527
2532,8265,2533
2533,2532,8265
2535,6566,8181
2537,4639
2539,0515,3034,5952
2540,6837,9691,6911
2541,3926,8845
2543,8760,8731,8845
2545,2546,8420
2546,2301,5404
2547,4015
2549,2601,3196
2551,2505,5591
2553,8268
2555,6991,8922
2557,0702,2517
2559,8747,4459
2562,7248,2829
2564,2565,9326
2565,8868,8131
2566,5903,7264
2567,1238,6072
2568,2226
2569,6676,3542,2377
2571,8474,3733
2573,4065,6524
2575,1540,1650
2578,5795,8898
2580,2578,3561
2583,6578,2090
2585,8941,8941
2586,3718
2588,5733,6837,1516
2590,2593,6144
2591,4423,4518
2593,4245,2297,8761
2596,2112,2611
2598,8197,8971,8327
2601,4451,5903,8573
2602,4916,0315
2603,0666,4151
2604,2603
2606,6566,4005,0471
2608,9828,7698,0612,7604
2611,8941,4392
2620,8831,7208
2622,9492,9492
2624,8122
2626,8573
2628,5402
2631,6682,1265,5910
2632,0232,4606
2635,6682,7780
2640,6231,9347,7544
2644,8229,4411
2647,4117,0170
2650,2112
2652,5707,3567
2654,2110,0785
2656,6991,8922
2660,7522,7743
2663,6944,6187
2667,6903,3142,6456
2668,2667,3142
2670,0253,3541
2674,1891
2677,0170,5739
2679,7188,5110
2681,9841
2682,9872
2683,1891
2684,5452,2354
2685,9627,7387
2686,0404,0062
2689,7737
2691,9852
2693,9817,5297
2695,3538,8266
2697,0376,3541
2701,5835,9609,3019,6619
2703
2704,6805,2703
2706,4231,8831
2708,8034,0829
2710,5768,9389,5306
2712,9311,4912
2714,5523,1606
2716,3881
2719,6455,5850
2720,9135,6067
2726,1890,9462
2727,8728,4272
2728,4272
2729,6855,3731
2730,0567,1370
2734,9347,3552
2736,6374,9282
2740,4352,9819
2742,1799,2578
2744,6874,9557
2746,2491,6085
2748,2817
2750,3544,3541
2751,3937,6997
2753,6845,1727
2755,8783
2756,9671,4521,9750
2757,9750,2756
2759,1068,6332,9874
2761,9696,6894
