streetId, nodeId
111,43412
111,43413
112,42159
112,43525
113,40966
113,40967
113,39807
113,43561
114,43636
114,43637
115,43831
115,1041510
116,41666
116,338953
117,44395
117,44396
117,40705
118,617062
118,1048606
119,44573
119,44574
119,258189
120,41614
120,338935
121,39809
121,44756
122,45167
122,45168
123,41619
123,43412
123,45184
124,45187
124,45188
125,44396
125,45872
126,45918
126,45920
126,45926
127,46045
127,46046
128,46636
128,46637
129,46661
129,44756
129,46662
130,1180307
130,46702
131,46717
131,393888
131,153157
132,42679
132,1146122
133,41610
133,338967
134,47262
134,47263
135,43636
135,1041722
135,47272
136,41728
136,40966
136,43636
137,1401717
137,47535
138,47570
138,47571
139,250570
139,47582
140,45167
140,47570
140,1041668
140,41812
141,47904
141,46045
141,47905
141,47906
142,48067
142,48068
143,47236
143,46341
144,48344
144,48345
145,48445
145,48447
146,40569
146,48547
146,47906
146,48548
147,49014
147,49015
147,45184
148,49015
148,1041482
149,893946
149,409393
150,41414
150,43831
150,1041537
151,256812
151,256818
151,256864
151,256867
152,45185
152,49863
153,1041722
153,50253
154,42158
154,139111
155,41415
155,615707
156,46926
156,1041600
157,41607
157,339020
158,1041692
158,1041697
159,39225
159,50558
160,44574
160,51232
161,51264
161,51267
162,51286
162,51290
162,44395
162,1041509
162,39230
163,159327
163,159333
164,41250
164,194833
165,51929
165,51930
166,39224
166,50558
167,51290
167,52222
168,46437
168,51264
168,52634
169,43443
169,53240
170,53264
170,53265
170,42159
171,45184
171,53358
171,51929
171,42503
172,52648
172,48547
173,53358
173,194827
174,53583
174,53584
174,53264
174,41309
175,48448
175,53594
176,50987
176,47262
176,45920
177,43989
177,53797
178,47905
178,53848
179,53584
179,53265
179,53866
180,346333
180,54117
180,54163
181,54163
181,198461
181,54174
182,54187
182,54190
182,54193
183,54193
183,54202
184,54202
184,54215
185,54550
185,198589
186,102010
186,198461
187,54266
187,54190
188,54243
188,51385
189,40208
189,54262
190,54264
190,54117
190,198460
191,54460
191,309413
192,54413
192,54460
193,53853
193,54460
194,33218
194,10873
195,7497
195,54798
196,6561
196,6561
196,6503
197,6503
197,6503
198,55020
198,55021
199,55022
199,55023
200,55032
200,55033
200,55034
200,55035
200,55036
201,55045
201,55047
202,55048
202,55055
203,55056
203,55063
204,55064
204,55066
205,55067
205,55068
205,55069
205,55070
205,144303
205,144346
205,55071
205,55072
205,55073
205,55074
206,55075
206,55076
206,55077
207,55078
207,144443
207,55079
207,322934
207,145107
207,55080
207,55081
207,55082
207,55083
208,55085
208,55086
209,55091
209,55092
209,55093
210,70373
210,55099
211,649846
211,55122
212,871047
212,871074
212,55139
212,55140
212,55142
213,55143
213,55150
214,55151
214,55152
214,55153
214,55154
214,55155
214,55157
214,55159
215,270320
215,259417
216,283009
216,55195
216,55196
217,55197
217,55198
217,55199
218,388732
218,388730
219,55202
219,55203
219,55204
219,55206
220,538989
220,538933
220,55207
220,249790
220,538935
221,55214
221,55225
222,1120155
222,144676
223,55231
223,55232
224,55311
224,55329
224,55330
225,55449
225,191142
226,55548
226,55546
226,55547
227,55957
227,55962
228,144456
228,55964
229,55731
229,55965
230,56005
230,189691
231,56060
231,56061
231,56062
232,56087
232,56086
233,56191
233,56192
234,56239
234,56241
234,63873
235,56318
235,56319
235,56318
236,56326
236,56327
236,56328
237,56329
237,56330
237,56331
237,56332
238,177186
238,56333
239,56342
239,56341
240,67705
240,56344
241,477450
241,56351
242,56352
242,56353
243,56354
243,56355
244,56356
244,56357
245,56358
245,307524
246,56360
246,56361
246,56362
247,56436
247,56438
248,56471
248,239010
249,56472
249,228542
249,228543
249,56478
250,56496
250,56497
250,56498
250,56499
250,56500
250,144290
251,191198
251,191197
252,56508
252,56509
253,56516
253,56517
254,56574
254,56575
254,56576
254,56577
254,270311
255,56578
255,56579
255,56580
256,56581
256,1117174
257,1117191
257,56586
257,56581
258,55382
258,533247
259,56588
259,56592
259,56598
260,853722
260,56618
261,56622
261,56623
261,56624
261,56625
261,1063899
262,56636
262,56641
263,56642
263,56645
264,1234845
264,1063899
265,1234832
265,56692
265,56695
266,56645
266,56642
267,56698
267,1234831
268,56206
268,56704
268,56705
269,56708
269,56709
270,56710
270,197387
271,56716
271,56717
271,56718
272,56719
272,56724
273,56725
273,56729
273,56732
273,56735
273,56724
273,56719
273,443485
273,443486
273,56744
273,443649
273,56748
274,56750
274,56753
275,56755
275,56756
276,56757
276,56755
276,56757
277,56760
277,71080
278,56765
278,56766
278,56767
279,56832
279,56834
279,56835
280,56836
280,56837
281,56839
281,56840
282,56845
282,56847
283,56848
283,185086
284,56851
284,56852
284,56853
284,56854
284,56855
284,56856
285,56857
285,56863
286,56864
286,56865
286,56868
287,56869
287,601849
287,56888
288,56889
288,56892
288,56894
289,442723
289,56894
290,56960
290,56964
290,56974
291,56974
291,56979
291,56960
292,56991
292,56979
293,57090
293,57011
294,57092
294,57093
294,57094
294,57095
294,57096
294,57097
294,57098
294,57099
294,57100
294,57101
294,57102
295,60223
295,57108
296,57109
296,57111
297,57144
297,55690
298,57183
298,57184
299,57185
299,57188
299,57191
299,151976
300,57195
300,403311
301,57197
301,57198
301,57199
302,57200
302,57201
303,57202
303,144241
303,57207
304,57208
304,57209
305,57211
305,57212
306,57213
306,57220
307,56062
307,56061
308,57232
308,57234
309,57235
309,57236
310,57237
310,57239
311,57240
311,832684
311,832687
311,57241
311,57242
311,57243
312,56224
312,57266
313,57269
313,57272
313,57273
313,144975
313,512936
313,837345
313,57274
313,57275
313,57276
314,57277
314,57278
