,,,,,,,,maxg,,,
002-04,,,,,abstentions,35273,0.446567157,0,0,FALSE,FrÈdÈric Alliot
002-04,,,,,blanc,613,0.007760771,0,0,FALSE,FrÈdÈric Alliot
002-04,m,FrÈdÈric,ALLIOT,Alliot,RDG,4096,0.095032598,0,0,FALSE,FrÈdÈric Alliot
002-04,f,Laetitia,VOISIN,Voisin,EXG,282,0.006542772,0,0,FALSE,FrÈdÈric Alliot
002-04,f,Barbara,KNOCKAERT,Knockaert,EXG,269,0.006241154,0,0,FALSE,FrÈdÈric Alliot
002-04,m,Jean-Luc,LANOUILH,Lanouilh,FG,7460,0.173081831,0,0,FALSE,FrÈdÈric Alliot
002-04,f,Marie-FranÁoise,BECHTEL,Bechtel,DVG,10073,0.233706875,0,0,FALSE,FrÈdÈric Alliot
002-04,f,Isabelle,LETRILLART,Letrillart,UMP,10476,0.243057006,0,0,FALSE,FrÈdÈric Alliot
002-04,f,StÈphanie,LEBEE,Lebee,VEC,727,0.016867358,727,VEC,FALSE,FrÈdÈric Alliot
002-04,m,Charles-Edouard,LAURISTON,Lauriston,PRV,891,0.020672374,727,VEC,FALSE,FrÈdÈric Alliot
002-04,f,Evelyne,RUELLE,Ruelle,FN,8062,0.187049024,727,VEC,FALSE,FrÈdÈric Alliot
002-04,f,Michelle,SAPORI,Sapori,DVD,353,0.008190065,727,VEC,FALSE,FrÈdÈric Alliot
002-04,f,Martine,LEHIDEUX,Lehideux,EXD,412,0.009558943,727,VEC,TRUE,FrÈdÈric Alliot
002-05,,,,,inscrits,81006,1,0,0,FALSE,Jacques Krabal
002-05,,,,,abstentions,32903,0.406179789,0,0,FALSE,Jacques Krabal
002-05,,,,,blanc,632,0.007801891,0,0,FALSE,Jacques Krabal
002-05,m,Jean-Claude,POIRET,Poiret,DVD,466,0.00981652,0,0,FALSE,Jacques Krabal
002-05,f,Isabelle,VASSEUR,Vasseur,UMP,14820,0.312190601,0,0,FALSE,Jacques Krabal
002-05,m,Jacques,KRABAL,Krabal,RDG,14141,0.297887131,0,0,FALSE,Jacques Krabal
002-05,m,Franck,BRIFFAUT,Briffaut,FN,10793,0.227359862,0,0,FALSE,Jacques Krabal
002-05,m,Dominique,JOURDAIN,Jourdain,VEC,4647,0.097891344,4647,VEC,FALSE,Jacques Krabal
002-05,f,Mireille,AUSECACHE,Ausecache,FG,2115,0.044553517,4647,VEC,FALSE,Jacques Krabal
002-05,f,Sylvie,GERET,Geret,EXG,489,0.010301026,4647,VEC,TRUE,Jacques Krabal
003-01,,,,,inscrits,90355,1,0,0,FALSE,Guy Chambefort
003-01,,,,,abstentions,34415,0.380886503,0,0,FALSE,Guy Chambefort
003-01,,,,,blanc,1056,0.011687234,0,0,FALSE,Guy Chambefort
