,,,,,,,,maxg,,,
067-04,,,,,blanc,629,0.006994096,0,0,FALSE,Nadine Soccio
067-04,f,Marie Gabrielle,LUCAS,Lucas,DVD,314,0.00628528,0,0,FALSE,Nadine Soccio
067-04,f,AgnËs,HIRZEL,Hirzel,ECO,591,0.011829937,0,0,FALSE,Nadine Soccio
067-04,f,Sophie,ROHFRITSCH,Rohfritsch,UMP,21951,0.439389087,0,0,FALSE,Nadine Soccio
067-04,m,Jean-Philippe,MARTIN,Martin,ECO,340,0.006805717,0,0,FALSE,Nadine Soccio
067-04,m,Julien,RATCLIFFE,Ratcliffe,FG,1117,0.022358781,0,0,FALSE,Nadine Soccio
067-04,m,Emmanuel,LEROY,Leroy,AUT,394,0.007886625,0,0,FALSE,Nadine Soccio
067-04,m,FrÈdÈric,LE JEHAN,Le Jehan,CEN,818,0.016373754,0,0,FALSE,Nadine Soccio
067-04,f,ValÈrie,ACKER,Acker,EXG,171,0.003422875,0,0,FALSE,Nadine Soccio
067-04,m,Marc,BAUD-BERTHIER,Baud-Berthier,EXG,131,0.002622203,0,0,FALSE,Nadine Soccio
067-04,f,Pascale,ELLES,Elles,FN,7987,0.159874294,0,0,FALSE,Nadine Soccio
067-04,m,Jacques,BARTHEL,Barthel,DVD,641,0.012830778,0,0,FALSE,Nadine Soccio
067-04,m,Luc,HUBER,Huber,VEC,2347,0.046979463,2347,VEC,FALSE,Nadine Soccio
067-04,f,Danielle,MEYER-TRABER,Meyer-Traber,ALLI,1510,0.030225389,2347,VEC,FALSE,Nadine Soccio
067-04,f,Nadine,SOCCIO,Soccio,SOC,11646,0.233115817,11646,SOC,TRUE,Nadine Soccio
067-05,,,,,inscrits,98427,1,0,0,FALSE,Daniel Ehret
067-05,,,,,abstentions,43908,0.446097108,0,0,FALSE,Daniel Ehret
067-05,,,,,blanc,977,0.009926138,0,0,FALSE,Daniel Ehret
067-05,f,Ariane,HENRY,Henry,FG,1362,0.025437974,0,0,FALSE,Daniel Ehret
067-05,m,Christophe,PALISSER,Palisser,AUT,547,0.010216279,0,0,FALSE,Daniel Ehret
067-05,m,Christian,COTELLE,Cotelle,FN,10306,0.192484405,0,0,FALSE,Daniel Ehret
067-05,m,Antoine,HERTH,Herth,UMP,26404,0.493145568,0,0,FALSE,Daniel Ehret
067-05,m,Emmanuel,WINGENDER,Wingender,AUT,0,0,0,0,FALSE,Daniel Ehret
067-05,m,Michel,GILARDEAU,Gilardeau,CEN,1399,0.02612902,0,0,FALSE,Daniel Ehret
067-05,m,Patrick,DUTTER,Dutter,EXG,556,0.010384371,0,0,FALSE,Daniel Ehret
067-05,m,Daniel,EHRET,Ehret,VEC,11888,0.222031303,11888,VEC,FALSE,Daniel Ehret
067-05,m,Daniel,WEBER,Weber,ECO,1080,0.020171081,11888,VEC,TRUE,Daniel Ehret
067-06,,,,,inscrits,91200,1,0,0,FALSE,Astrid Scharly
067-06,,,,,abstentions,40251,0.441348684,0,0,FALSE,Astrid Scharly
067-06,,,,,blanc,707,0.007752193,0,0,FALSE,Astrid Scharly
067-06,f,Brigitte,TINOT,Tinot,FN,8953,0.178197524,0,0,FALSE,Astrid Scharly
067-06,m,RÈmy,WENDLING,Wendling,AUT,416,0.008279925,0,0,FALSE,Astrid Scharly
067-06,f,Anne-Sophie,FRELIGER,Freliger,CEN,945,0.018808965,0,0,FALSE,Astrid Scharly
067-06,f,Astrid,SCHARLY,Scharly,SOC,8043,0.160085188,8043,SOC,FALSE,Astrid Scharly
067-06,f,Jeanne-FranÁoise,LANGLADE,Langlade,EXG,232,0.004617651,8043,SOC,FALSE,Astrid Scharly
067-06,m,Laurent,FURST,Furst,UMP,25964,0.516778791,8043,SOC,FALSE,Astrid Scharly
067-06,m,Jean,VOGEL,Vogel,VEC,4720,0.093945305,8043,SOC,FALSE,Astrid Scharly
067-06,f,DorothÈe,UNTERBERGER,Unterberger,FG,969,0.019286653,8043,SOC,TRUE,Astrid Scharly
067-07,,,,,inscrits,84670,1,0,0,FALSE,rÈservation MichËle Comte
067-07,,,,,abstentions,37632,0.444454943,0,0,FALSE,rÈservation MichËle Comte
067-07,,,,,blanc,841,0.00993268,0,0,FALSE,rÈservation MichËle Comte
067-07,f,Liliane,BAS,Bas,EXG,265,0.005736303,0,0,FALSE,rÈservation MichËle Comte
067-07,f,MichËle,COMTE,Comte,VEC,5665,0.12262701,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,m,Laurent,GNAEDIG,Gnaedig,FN,8609,0.186354092,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,f,Anne-Marie,VICTOR,Victor,AUT,377,0.008160703,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,m,Thierry,CARBIENER,Carbiener,ALLI,9477,0.205143191,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,m,Pierre,SCHWEITZER,Schweitzer,CEN,872,0.018875685,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,m,Etienne,SCHMITT,Schmitt,AUT,168,0.0036366,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,m,Denis,LIEB,Lieb,REG,4457,0.096478126,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,f,BÈnÈdicte,HERRGOTT,Herrgott,FG,1789,0.038725458,5665,VEC,FALSE,rÈservation MichËle Comte
067-07,m,Patrick,HETZEL,Hetzel,UMP,14518,0.314262831,5665,VEC,TRUE,rÈservation MichËle Comte
067-08,,,,,inscrits,92744,1,0,0,FALSE,Nicole Habermacher
067-08,,,,,abstentions,42560,0.458897611,0,0,FALSE,Nicole Habermacher
067-08,,,,,blanc,1006,0.010847063,0,0,FALSE,Nicole Habermacher
067-08,f,Catherine,BAHL,Bahl,AUT,7,0.00014234,0,0,FALSE,Nicole Habermacher
067-08,f,Perrine,TORRENT,Torrent,ECO,812,0.016511448,0,0,FALSE,Nicole Habermacher
067-08,f,SÈverine,CHARRET,Charret,FG,870,0.017690837,0,0,FALSE,Nicole Habermacher
067-08,f,Diana,GARNIER-LANG,Garnier-Lang,FN,10100,0.205376388,0,0,FALSE,Nicole Habermacher
067-08,f,Catherine,GSELL,Gsell,EXG,273,0.005551263,0,0,FALSE,Nicole Habermacher
067-08,m,FrÈdÈric,REISS,Reiss,UMP,26380,0.536418724,0,0,FALSE,Nicole Habermacher
067-08,m,Alphonse,SIBLER,Sibler,ECO,946,0.019236244,0,0,FALSE,Nicole Habermacher
067-08,f,Laure,FERRARI,Ferrari,DVD,780,0.015860751,0,0,FALSE,Nicole Habermacher
067-08,f,Nicole,HABERMACHER,Habermacher,SOC,8648,0.17585099,8648,SOC,FALSE,Nicole Habermacher
067-08,m,Pascal,ASCHEBERG,Ascheberg,AUT,362,0.007361015,8648,SOC,TRUE,Nicole Habermacher
067-09,,,,,inscrits,88326,1,0,0,FALSE,Clarisse Chabod
067-09,,,,,abstentions,40613,0.459807984,0,0,FALSE,Clarisse Chabod
067-09,,,,,blanc,691,0.007823291,0,0,FALSE,Clarisse Chabod
067-09,m,Jean-Marc,CLAUS,Claus,FG,888,0.018884777,0,0,FALSE,Clarisse Chabod
067-09,m,Arnaud,MARKERT,Markert,DVD,447,0.009506189,0,0,FALSE,Clarisse Chabod
067-09,m,Georges,DIZDAREVIC,Dizdarevic,EXG,124,0.002637064,0,0,FALSE,Clarisse Chabod
067-09,f,FranÁoise,WERCKMANN,Werckmann,ECO,1211,0.025753902,0,0,FALSE,Clarisse Chabod
067-09,m,Jean-Claude,ALTHERR,Altherr,FN,8437,0.179426651,0,0,FALSE,Clarisse Chabod
067-09,m,Mounir,DIARI,Diari,AUT,75,0.001594998,0,0,FALSE,Clarisse Chabod
067-09,f,Clarisse,CHABOD,Chabod,SOC,9196,0.195568032,9196,SOC,FALSE,Clarisse Chabod
067-09,m,Jean-Michel,DELAYE,Delaye,EXG,229,0.004870061,9196,SOC,FALSE,Clarisse Chabod
067-09,m,FranÁois,LUDWIG,Ludwig,AUT,467,0.009931521,9196,SOC,FALSE,Clarisse Chabod
067-09,m,Claude,STURNI,Sturni,DVD,14042,0.298626175,9196,SOC,FALSE,Clarisse Chabod
067-09,f,Nicole,THOMAS,Thomas,UMP,11906,0.253200629,9196,SOC,TRUE,Clarisse Chabod
068-01,,,,,inscrits,74093,1,0,0,FALSE,Victorine Valentin
068-01,,,,,abstentions,32625,0.440324997,0,0,FALSE,Victorine Valentin
068-01,,,,,blanc,535,0.007220655,0,0,FALSE,Victorine Valentin
068-01,m,Antoine,WALTER,Walter,AUT,985,0.024063714,0,0,FALSE,Victorine Valentin
068-01,m,FrÈdÈric,HILBERT,Hilbert,ECO,1241,0.030317836,0,0,FALSE,Victorine Valentin
068-01,m,Eric,STRAUMANN,Straumann,UMP,14495,0.354115262,0,0,FALSE,Victorine Valentin
068-01,m,Fabien,BADARIOTTI,Badariotti,ECO,357,0.008721569,0,0,FALSE,Victorine Valentin
068-01,m,Yves,BAUMULLER,Baumuller,CEN,521,0.012728117,0,0,FALSE,Victorine Valentin
068-01,f,Victorine,VALENTIN,Valentin,SOC,9005,0.219993648,9005,SOC,FALSE,Victorine Valentin
068-01,m,Guy,PETERSCHMITT,Peterschmitt,FG,659,0.01609948,9005,SOC,FALSE,Victorine Valentin
068-01,m,FrÈdÈric,COLLARD,Collard,DVD,309,0.007548921,9005,SOC,FALSE,Victorine Valentin
068-01,m,Gilbert,MEYER,Meyer,DVD,7739,0.189065058,9005,SOC,FALSE,Victorine Valentin
068-01,m,Vincent,WISS,Wiss,FN,5375,0.131312144,9005,SOC,FALSE,Victorine Valentin
068-01,m,Gilles,SCHAFFAR,Schaffar,EXG,163,0.003982117,9005,SOC,FALSE,Victorine Valentin
068-01,m,Maurice,GAUBIER,Gaubier,DVD,84,0.002052134,9005,SOC,TRUE,Victorine Valentin
068-02,,,,,inscrits,91139,1,0,0,FALSE,Danielle Rubrecht
068-02,,,,,abstentions,39230,0.430441414,0,0,FALSE,Danielle Rubrecht
068-02,,,,,blanc,835,0.00916183,0,0,FALSE,Danielle Rubrecht
068-02,m,Antoine,CERIANI,Ceriani,ECO,242,0.004738223,0,0,FALSE,Danielle Rubrecht
068-02,f,Michelle,ROUSSEAU,Rousseau,DVD,456,0.008928222,0,0,FALSE,Danielle Rubrecht
068-02,f,Myriam,SPRINGAUX,Springaux,EXG,297,0.005815092,0,0,FALSE,Danielle Rubrecht
068-02,m,Jean-Louis,CHRIST,Christ,UMP,23454,0.459216039,0,0,FALSE,Danielle Rubrecht
068-02,m,Fabien,BECKER,Becker,DVG,4673,0.091494694,0,0,FALSE,Danielle Rubrecht
068-02,m,Henri,STOLL,Stoll,VEC,10801,0.211477464,10801,VEC,FALSE,Danielle Rubrecht
068-02,f,Julia,ABRAHAM,Abraham,FN,9887,0.193581862,10801,VEC,FALSE,Danielle Rubrecht
068-02,m,Guy,BUECHER,Buecher,FG,1264,0.024748404,10801,VEC,TRUE,Danielle Rubrecht
068-03,,,,,inscrits,83613,1,0,0,FALSE,Antoine Waechter
068-03,,,,,abstentions,37300,0.446102879,0,0,FALSE,Antoine Waechter
068-03,,,,,blanc,675,0.008072907,0,0,FALSE,Antoine Waechter
068-03,m,GÈraud,FERRY,Ferry,EXG,231,0.005061571,0,0,FALSE,Antoine Waechter
068-03,m,Max,DELMOND,Delmond,ECO,4230,0.09268592,0,0,FALSE,Antoine Waechter
068-03,m,Jean-Luc,REITZER,Reitzer,UMP,25010,0.548008239,0,0,FALSE,Antoine Waechter
068-03,f,StÈphanie,FAESCH,Faesch,FN,6109,0.13385775,0,0,FALSE,Antoine Waechter
068-03,f,Alexandra,DELAUNAY-HARTEMANN,Delaunay-Hartemann,CEN,739,0.016192646,0,0,FALSE,Antoine Waechter
068-03,m,Antoine,WAECHTER,Waechter,ECO,4802,0.105219335,0,0,FALSE,Antoine Waechter
068-03,m,Jean-Luc,KOCH,Koch,ECO,863,0.018909681,0,0,FALSE,Antoine Waechter
068-03,m,Alain,KOEGLER,Koegler,DVD,1861,0.040777422,0,0,FALSE,Antoine Waechter
068-03,f,GeneviËve,ENGGASSER,Enggasser,FG,1793,0.039287436,0,0,TRUE,Antoine Waechter
068-04,,,,,inscrits,99291,1,0,0,FALSE,Antoine Home
068-04,,,,,abstentions,43049,0.433563969,0,0,FALSE,Antoine Home
068-04,,,,,blanc,1060,0.010675691,0,0,FALSE,Antoine Home
068-04,f,Nadia,PETER-LANTZ,Peter-Lantz,FG,1557,0.028215723,0,0,FALSE,Antoine Home
068-04,m,AimÈ,SENSE,Sense,EXG,438,0.007937371,0,0,FALSE,Antoine Home
068-04,m,Antoine,HOME,Home,SOC,15107,0.273766808,15107,SOC,FALSE,Antoine Home
068-04,m,Xavier,ELBEL,Elbel,AUT,399,0.007230619,15107,SOC,FALSE,Antoine Home
068-04,m,Michel,SORDI,Sordi,UMP,24978,0.452647602,15107,SOC,FALSE,Antoine Home
068-04,m,Raoul,BIONDI,Biondi,FN,11848,0.214707695,15107,SOC,FALSE,Antoine Home
068-04,m,Claude,HOLLER,Holler,EXG,855,0.015494183,15107,SOC,TRUE,Antoine Home
068-05,,,,,inscrits,78848,1,0,0,FALSE,Pierre Freyburger
068-05,,,,,abstentions,37311,0.473201603,0,0,FALSE,Pierre Freyburger
068-05,,,,,blanc,701,0.008890524,0,0,FALSE,Pierre Freyburger
068-05,f,Emmanuelle,SUAREZ,Suarez,CEN,874,0.021402684,0,0,FALSE,Pierre Freyburger
068-05,f,Marie-Paule,FOLLIOT,Folliot,DVD,115,0.002816143,0,0,FALSE,Pierre Freyburger
068-05,m,Julien,WOSTYN,Wostyn,EXG,181,0.004432364,0,0,FALSE,Pierre Freyburger
068-05,m,Ludovic,DE DANNE,De Danne,FN,6845,0.167621706,0,0,FALSE,Pierre Freyburger
068-05,f,Arlette,GROSSKOST,Grosskost,UMP,16288,0.398863748,0,0,FALSE,Pierre Freyburger
068-05,m,Bastien,FAUDOT,Faudot,DVG,182,0.004456852,0,0,FALSE,Pierre Freyburger
068-05,m,Vincent,DUSE,Duse,EXG,138,0.003379371,0,0,FALSE,Pierre Freyburger
068-05,m,Jean-Luc,WERTENSCHLAG,Wertenschlag,AUT,174,0.004260946,0,0,FALSE,Pierre Freyburger
068-05,m,Pierre,FREYBURGER,Freyburger,SOC,13802,0.337986091,13802,SOC,FALSE,Pierre Freyburger
068-05,f,Djamila,SONZOGNI,Sonzogni,VEC,1381,0.0338182,13802,SOC,FALSE,Pierre Freyburger
068-05,f,Aline,PARMENTIER,Parmentier,FG,856,0.020961896,13802,SOC,TRUE,Pierre Freyburger
068-06,,,,,inscrits,92486,1,0,0,FALSE,Malika Schmidlin Ben M'Barek
068-06,,,,,abstentions,44436,0.480461908,0,0,FALSE,Malika Schmidlin Ben M'Barek
068-06,,,,,blanc,968,0.010466449,0,0,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,Laurent,BOITELLE,Boitelle,ECO,1694,0.03597978,0,0,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,Cyprien,GODINOT,Godinot,AUT,145,0.003079733,0,0,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,Nicolas,CHEVALIER-ROCH,Chevalier-Roch,DVD,648,0.013763222,0,0,FALSE,Malika Schmidlin Ben M'Barek
068-06,f,Malika,SCHMIDLIN-BEN M'BAREK,Schmidlin-Ben M'Barek,SOC,12394,0.263242853,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,Francis,HILLMEYER,Hillmeyer,NCE,17417,0.36992906,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,f,Nathalie,MULOT,Mulot,EXG,300,0.006371862,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,RÈgis,BASCHUNG,Baschung,CEN,828,0.017586339,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,Hubert,STRAUEL,Strauel,FG,1331,0.028269827,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,f,Sandrine,PICO,Pico,DVD,91,0.001932798,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,f,Martine,BINDER,Binder,FN,11859,0.251879699,12394,SOC,FALSE,Malika Schmidlin Ben M'Barek
068-06,m,Abdel Majid,BOUCENNA,Boucenna,EXG,375,0.007964827,12394,SOC,TRUE,Malika Schmidlin Ben M'Barek
069-01,,,,,inscrits,68147,1,0,0,FALSE,Philippe Meirieu
069-01,,,,,abstentions,30587,0.44883854,0,0,FALSE,Philippe Meirieu
069-01,,,,,blanc,292,0.004284855,0,0,FALSE,Philippe Meirieu
069-01,m,Antoine,BEILS,Beils,AUT,99,0.002656434,0,0,FALSE,Philippe Meirieu
069-01,f,Noura,MEBTOUCHE,Mebtouche,ECO,0,0,0,0,FALSE,Philippe Meirieu
069-01,m,Michel,HAVARD,Havard,UMP,11709,0.31418375,0,0,FALSE,Philippe Meirieu
069-01,f,Rachel,TEFFAHI,Teffahi,ECO,213,0.005715359,0,0,FALSE,Philippe Meirieu
069-01,m,Emmanuel,PASCO-VIEL,Pasco-Viel,ECO,304,0.008157132,0,0,FALSE,Philippe Meirieu
069-01,m,AndrÈ,MORIN,Morin,FN,3859,0.103547279,0,0,FALSE,Philippe Meirieu
069-01,m,JÈrÙme,LEIGNADIER-PARADON,Leignadier-Paradon,AUT,316,0.008479124,0,0,FALSE,Philippe Meirieu
069-01,f,Marie-Christine,PERNIN,Pernin,EXG,160,0.004293227,0,0,FALSE,Philippe Meirieu
069-01,m,Philippe,MEIRIEU,Meirieu,VEC,6844,0.183642803,6844,VEC,FALSE,Philippe Meirieu
069-01,m,Thierry,BRAILLARD,Braillard,RDG,9843,0.264113985,6844,VEC,FALSE,Philippe Meirieu
069-01,m,Gauthier,BLIN,Blin,DVD,631,0.016931416,6844,VEC,FALSE,Philippe Meirieu
069-01,f,Claude,LANHER,Lanher,FG,2137,0.057341419,6844,VEC,FALSE,Philippe Meirieu
069-01,f,Maguy,GIRERD,Girerd,DVD,213,0.005715359,6844,VEC,FALSE,Philippe Meirieu
069-01,f,Florence,MAURY,Maury,CEN,940,0.025222711,6844,VEC,TRUE,Philippe Meirieu
069-02,,,,,inscrits,74893,1,0,0,FALSE,Pierre-Alain Muet
069-02,,,,,abstentions,31287,0.417755999,0,0,FALSE,Pierre-Alain Muet
069-02,,,,,blanc,269,0.003591791,0,0,FALSE,Pierre-Alain Muet
069-02,m,Denis,BROLIQUIER,Broliquier,DVD,3066,0.07074786,0,0,FALSE,Pierre-Alain Muet
069-02,m,Vincent,CHEYNET,Cheynet,ECO,5,0.000115375,0,0,FALSE,Pierre-Alain Muet
069-02,m,Luc,LANDROT,Landrot,ECO,215,0.004961119,0,0,FALSE,Pierre-Alain Muet
069-02,f,Fabienne,LEVY,Levy,PRV,1109,0.025590142,0,0,FALSE,Pierre-Alain Muet
069-02,f,Patricia,MARGAND,Margand,DVD,40,0.000922999,0,0,FALSE,Pierre-Alain Muet
069-02,m,Nicolas,GUYARD,Guyard,AUT,391,0.009022313,0,0,FALSE,Pierre-Alain Muet
069-02,f,ClÈmence,FLUSIN,Flusin,AUT,102,0.002353647,0,0,FALSE,Pierre-Alain Muet
069-02,f,Marianne,JUE,Jue,AUT,2,4.61E-05,0,0,FALSE,Pierre-Alain Muet
069-02,m,Emmanuel,HAMELIN,Hamelin,UMP,11020,0.254286176,0,0,FALSE,Pierre-Alain Muet
069-02,f,Brigitte,DE SEREYS,De Sereys,DVD,292,0.006737891,0,0,FALSE,Pierre-Alain Muet
069-02,f,Anne,CHARMASSON-CREUS,Charmasson-Creus,FG,3604,0.083162194,0,0,FALSE,Pierre-Alain Muet
069-02,f,Emeline,BAUME,Baume,VEC,3825,0.088261762,3825,VEC,FALSE,Pierre-Alain Muet
069-02,m,Fabrice,CROS,Cros,EXG,199,0.004591919,3825,VEC,FALSE,Pierre-Alain Muet
069-02,m,Pierre-Alain,MUET,Muet,SOC,16098,0.371460876,16098,SOC,FALSE,Pierre-Alain Muet
069-02,f,Arlette,COUZON,Couzon,EXG,135,0.003115121,16098,SOC,FALSE,Pierre-Alain Muet
069-02,f,Blanche,CHAUSSAT,Chaussat,FN,2922,0.067425064,16098,SOC,FALSE,Pierre-Alain Muet
069-02,m,Christophe,LIMOUSIN,Limousin,DVD,172,0.003968895,16098,SOC,FALSE,Pierre-Alain Muet
069-02,f,Maud,GELDREICH,Geldreich,DVD,140,0.003230496,16098,SOC,TRUE,Pierre-Alain Muet
069-03,,,,,inscrits,70342,1,0,0,FALSE,Jean-Louis Touraine
069-03,,,,,abstentions,30661,0.435884678,0,0,FALSE,Jean-Louis Touraine
069-03,,,,,blanc,290,0.004122715,0,0,FALSE,Jean-Louis Touraine
069-03,m,Marc,CHINAL,Chinal,AUT,81,0.002056307,0,0,FALSE,Jean-Louis Touraine
069-03,m,Patrick,JACQUEROUX,Jacqueroux,DVD,41,0.001040847,0,0,FALSE,Jean-Louis Touraine
069-03,f,Jeanne,DE CARBONNIERES,De Carbonnieres,FN,4365,0.110812114,0,0,FALSE,Jean-Louis Touraine
069-03,m,Philippe,DONCOURT,Doncourt,AUT,0,0,0,0,FALSE,Jean-Louis Touraine
069-03,f,Fanny,DUBOT,Dubot,VEC,2420,0.061435353,2420,VEC,FALSE,Jean-Louis Touraine
069-03,f,Eleni,FERLET,Ferlet,FG,2781,0.070599883,2420,VEC,FALSE,Jean-Louis Touraine
069-03,f,LaÎtitia,CHABANOLE,Chabanole,DVD,163,0.004138001,2420,VEC,FALSE,Jean-Louis Touraine
069-03,f,Anne-Marie,CHAMBON,Chambon,EXG,145,0.003681044,2420,VEC,FALSE,Jean-Louis Touraine
069-03,m,Jean-Louis,TOURAINE,Touraine,SOC,15762,0.400142164,15762,SOC,FALSE,Jean-Louis Touraine
069-03,f,CÈline,BOS,Bos,CEN,819,0.020791551,15762,SOC,FALSE,Jean-Louis Touraine
069-03,f,Laure,DAGORNE,Dagorne,UMP,10604,0.269198548,15762,SOC,FALSE,Jean-Louis Touraine
069-03,f,Marina,AVENAS,Avenas,AUT,76,0.001929375,15762,SOC,FALSE,Jean-Louis Touraine
069-03,f,FranÁoise,CHALONS,Chalons,EXG,153,0.003884136,15762,SOC,FALSE,Jean-Louis Touraine
069-03,m,Maxime,CAMINALE,Caminale,DVD,454,0.011525475,15762,SOC,FALSE,Jean-Louis Touraine
069-03,m,Eric,CURINIER,Curinier,ECO,216,0.005483486,15762,SOC,FALSE,Jean-Louis Touraine
069-03,f,Martine,SOUVIGNET,Souvignet,DVG,199,0.005051915,15762,SOC,FALSE,Jean-Louis Touraine
069-03,m,Sammy,DIA,Dia,AUT,256,0.006498946,15762,SOC,FALSE,Jean-Louis Touraine
069-03,m,Gilles,CHAMPION,Champion,EXG,60,0.001523191,15762,SOC,FALSE,Jean-Louis Touraine
069-03,f,ValÈrie,MIRA,Mira,ECO,1,2.54E-05,15762,SOC,FALSE,Jean-Louis Touraine
069-03,m,Eric,LAFOND,Lafond,DVD,677,0.017186667,15762,SOC,FALSE,Jean-Louis Touraine
069-03,m,Michel,DULAC,Dulac,DVD,118,0.002995608,15762,SOC,TRUE,Jean-Louis Touraine
069-04,,,,,inscrits,79524,1,0,0,FALSE,Najat Belkacem
069-04,,,,,abstentions,33496,0.421206177,0,0,FALSE,Najat Belkacem
069-04,,,,,blanc,316,0.003973643,0,0,FALSE,Najat Belkacem
069-04,f,Gwendoline,DESLIENS,Desliens,AUT,382,0.008356668,0,0,FALSE,Najat Belkacem
069-04,m,Pierre-Yves,BESSEAS,Besseas,FG,2214,0.048433672,0,0,FALSE,Najat Belkacem
069-04,f,Anne,BRUGNERA,Brugnera,SOC,14862,0.325122506,14862,SOC,FALSE,Najat Belkacem
069-04,m,Bertrand,PICOLET,Picolet,CEN,1273,0.027848267,14862,SOC,FALSE,Najat Belkacem
069-04,f,Sophie,TURCANO,Turcano,ECO,235,0.005140882,14862,SOC,FALSE,Najat Belkacem
069-04,m,Jean-NoÎl,DUDUKDJIAN,Dudukdjian,EXG,155,0.003390795,14862,SOC,FALSE,Najat Belkacem
069-04,m,Pierre,HEMON,Hemon,VEC,2427,0.05309328,14862,SOC,FALSE,Najat Belkacem
069-04,f,Aurore,NININO,Ninino,AUT,107,0.002340742,14862,SOC,FALSE,Najat Belkacem
069-04,f,Nicole,HUGON,Hugon,FN,4461,0.097589254,14862,SOC,FALSE,Najat Belkacem
069-04,m,Thierry,MOUILLAC,Mouillac,DVD,1360,0.029751488,14862,SOC,FALSE,Najat Belkacem
069-04,m,Jean,FOYARD,Foyard,DVD,51,0.001115681,14862,SOC,FALSE,Najat Belkacem
069-04,f,Dominique,NACHURY,Nachury,UMP,17355,0.379659608,14862,SOC,FALSE,Najat Belkacem
069-04,f,Anne-Claire,PECH,Pech,DVD,830,0.018157158,14862,SOC,TRUE,Najat Belkacem
069-05,,,,,inscrits,80543,1,0,0,FALSE,Jacky Darne
069-05,,,,,abstentions,31019,0.385123474,0,0,FALSE,Jacky Darne
069-05,,,,,blanc,366,0.004544157,0,0,FALSE,Jacky Darne
069-05,f,Louise,SARAFIAN,Sarafian,DVD,0,0,0,0,FALSE,Jacky Darne
069-05,f,VÈronique,CHIAVAZZA,Chiavazza,FG,1945,0.039566296,0,0,FALSE,Jacky Darne
069-05,f,Kim,PROUHET,Prouhet,ECO,298,0.006062086,0,0,FALSE,Jacky Darne
069-05,m,Jacky,DARNE,Darne,SOC,14034,0.285487611,14034,SOC,FALSE,Jacky Darne
069-05,f,Joanne,SAVOYE-DI SPIRITO,Savoye-Di Spirito,CEN,903,0.01836934,14034,SOC,FALSE,Jacky Darne
069-05,m,Alain,CHEVALIER,Chevalier,FN,5835,0.118698889,14034,SOC,FALSE,Jacky Darne
069-05,m,Philippe,COCHET,Cochet,UMP,23486,0.477765572,14034,SOC,FALSE,Jacky Darne
069-05,m,Cyrille,BOUVAT,Bouvat,DVD,414,0.008421824,14034,SOC,FALSE,Jacky Darne
069-05,f,VÈronique,TOUTANT,Toutant,VEC,2098,0.042678709,14034,SOC,FALSE,Jacky Darne
069-05,m,Eric,RUSDIKIAN,Rusdikian,AUT,2,4.07E-05,14034,SOC,FALSE,Jacky Darne
069-05,m,Jim,BUGNI,Bugni,EXG,143,0.002908987,14034,SOC,TRUE,Jacky Darne
069-06,,,,,inscrits,78362,1,0,0,FALSE,Pascale Crozon
069-06,,,,,abstentions,36925,0.471210536,0,0,FALSE,Pascale Crozon
069-06,,,,,blanc,408,0.005206605,0,0,FALSE,Pascale Crozon
069-06,f,Emmanuelle,HAZIZA,Haziza,UMP,9971,0.243023227,0,0,FALSE,Pascale Crozon
069-06,m,StÈphane,PONCET,Poncet,FN,6164,0.150235199,0,0,FALSE,Pascale Crozon
069-06,f,Elvire,CRUZ,Cruz,NCE,526,0.0128202,0,0,FALSE,Pascale Crozon
069-06,m,Ku Bukaka,KAPELA,Kapela,AUT,114,0.002778523,0,0,FALSE,Pascale Crozon
069-06,m,Bernard-Armand,COLLINI,Collini,ECO,379,0.009237369,0,0,FALSE,Pascale Crozon
069-06,f,Pascale,CROZON,Crozon,SOC,17448,0.425260182,17448,SOC,FALSE,Pascale Crozon
069-06,m,Vincent,MORLAND,Morland,VEC,2472,0.060250067,17448,SOC,FALSE,Pascale Crozon
069-06,m,Zair,MEZIANI,Meziani,ECO,169,0.004119038,17448,SOC,FALSE,Pascale Crozon
069-06,m,Damien,CLAUZEL,Clauzel,AUT,318,0.007750615,17448,SOC,FALSE,Pascale Crozon
069-06,f,Sonia,BOVE,Bove,FG,3077,0.074995735,17448,SOC,FALSE,Pascale Crozon
069-06,f,DaniËle,CANTON,Canton,EXG,173,0.00421653,17448,SOC,FALSE,Pascale Crozon
069-06,f,Claire,LAINEZ,Lainez,EXG,218,0.005313315,17448,SOC,TRUE,Pascale Crozon
