"code","arr","bda","cir","nom","numRue","numSup","rue","lat","lon","insT1","blaT1","jolT1","lepT1","sarT1","melT1","pouT1","artT1","cheT1","bayT1","dupT1","holT1","insT2","blaT2","holT2","sarT2"
6472,20,64,6,"École élémentaire",15,"","Rue Sorbier",48.866053,2.392493,1154,15,43,65,154,166,7,1,4,55,5,398,1154,26,651,254
6469,20,65,6,"École élémentaire",293,"","Rue des Pyrenées",48.869357,2.394963,1196,12,48,60,202,161,7,4,2,67,13,410,1196,31,674,299
6470,20,66,6,"École élémentaire",291,"","Rue des Pyrenées",48.869249,2.395047,1189,17,49,58,176,143,7,4,0,87,15,362,1189,43,617,286
6471,20,67,6,"École maternelle",24,"","Rue du Retrait",48.868785,2.394093,1254,10,76,61,134,204,4,4,5,60,7,428,1254,28,784,220
6474,20,68,6,"École élémentaire",103,"","Rue des Amandiers",48.867482,2.388862,1363,15,81,64,112,250,16,5,1,48,10,467,1364,33,862,190
7565,20,69,6,"Collège Colette Besson",9,"","Rue des Panoyaux",48.866308,2.384702,1298,20,67,42,141,204,12,2,2,52,5,488,1298,34,826,202
6476,20,70,6,"École élémentaire",31,"","Rue Étienne-Dolet",48.86804,2.385173,1637,17,67,76,222,264,19,7,1,58,14,553,1636,36,960,353
6481,20,71,6,"École maternelle",15,"","Rue d'Eupatoria",48.868876,2.387508,1602,17,80,45,167,267,18,8,4,64,16,605,1600,46,1018,247
6480,20,72,6,"École maternelle",94,"","Rue des Couronnes",48.870495,2.387781,1564,16,70,58,166,330,12,5,2,77,8,517,1564,29,1005,267
7861,20,73,6,"Pavillon Carré Baudouin",121,"","Rue de Menilmontant",48.869907,2.394143,1485,10,94,52,151,261,8,3,3,58,5,562,1485,26,965,238
7860,20,74,6,"CASVP Restaurant Piat",33,"","Rue Piat",48.872114,2.384748,1562,13,88,56,146,260,14,4,1,66,8,598,1562,38,1030,222
6477,20,75,6,"École maternelle",32,"","Rue de Pali-Kao",48.87044,2.382062,1593,18,40,59,214,249,7,10,4,43,16,575,1592,33,972,301
6478,20,76,6,"École élémentaire",38,"","Rue de Tourtille",48.872383,2.380273,1622,17,102,53,138,268,11,4,2,53,10,610,1622,32,1067,199
