"Référendum 2005","Régionales 2007","PR2007 1er tour","PR2007 2ème tour","PR2012 1er tour","PR2012 2ème tour"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Abstention, blanc, nul, sans réponse","Olivier Besancenot","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Abstention, blanc, nul, sans réponse","Ségolène Royal","Ségolène Royal","NA","François Hollande"
"A voté oui","Listes PS","Dominique Voynet","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes PS","François Bayrou","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes Verts","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","François Bayrou","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes divers gauche","Nicolas Sarkozy","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"Sans opinion","Listes Lutte ouvrière","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","François Bayrou","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"Sans opinion","Listes FN","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Marine Le Pen","Nicolas Sarkozy"
"Sans opinion","Listes PS","Ségolène Royal","Ségolène Royal","Abstention","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Jean-Marie Le Pen","Nicolas Sarkozy","NA","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes PS","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Listes PS","Olivier Besancenot","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Dominique Voynet","Abstention, blanc, nul, sans réponse","Nathalie Arthaud","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Jean-Luc Mélenchon","François Hollande"
"A voté non","Abstention, blanc, nul, sans réponse","Olivier Besancenot","Ségolène Royal","Abstention","François Hollande"
"Sans opinion","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes PS","José Bové","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Abstention, blanc, nul, sans réponse","Olivier Besancenot","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","Abstention","François Hollande"
"Sans opinion","Listes MoDem","Nicolas Sarkozy","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Ségolène Royal","Nicolas Sarkozy","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Listes FN","Jean-Marie Le Pen","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","François Hollande"
"A voté non","Listes PS","Nicolas Sarkozy","Nicolas Sarkozy","François Hollande","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"Sans opinion","Listes UMP - NC","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Listes Front de gauche - PC","François Bayrou","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","NA","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","François Bayrou","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes PS","Dominique Voynet","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes PS","François Bayrou","Ségolène Royal","François Bayrou","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes PS","François Bayrou","Ségolène Royal","François Bayrou","Blanc,nul, abstention, sans réponse"
"A voté non","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Listes PS","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","François Bayrou","Nicolas Sarkozy"
"A voté oui","Listes Front de gauche - PC","Jean-Marie Le Pen","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Listes FN","Jean-Marie Le Pen","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"A voté non","Listes Front de gauche - PC","François Bayrou","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Jean-Luc Mélenchon","François Hollande"
"A voté non","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Autres listes","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Listes Front de gauche - PC","Arlette Laguiller / Gérard Schivardi","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","François Bayrou","Nicolas Sarkozy"
"A voté non","Listes PS","Ségolène Royal","Nicolas Sarkozy","Jean-Luc Mélenchon","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes MoDem","François Bayrou","Abstention, blanc, nul, sans réponse","François Bayrou","Blanc,nul, abstention, sans réponse"
"Sans opinion","Listes Front de gauche - PC","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Marine Le Pen","François Hollande"
"A voté oui","Listes Verts","François Bayrou","Abstention, blanc, nul, sans réponse","François Bayrou","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Jean-Marie Le Pen","Nicolas Sarkozy","Marine Le Pen","Nicolas Sarkozy"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","Abstention","François Hollande"
"Sans opinion","Listes FN","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"A voté oui","Listes Verts","François Bayrou","Ségolène Royal","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","NA","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Jean-Marie Le Pen","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté non","Listes PS","François Bayrou","Ségolène Royal","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","François Bayrou","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","François Bayrou","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Abstention, blanc, nul, sans réponse","Jean-Marie Le Pen","Ségolène Royal","Marine Le Pen","Blanc,nul, abstention, sans réponse"
"A voté oui","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Nicolas Dupont-Aignan","François Hollande"
"A voté non","Listes PS","José Bové","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes PS","Nicolas Sarkozy","Nicolas Sarkozy","François Hollande","François Hollande"
"A voté non","Listes PS","Olivier Besancenot","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Ségolène Royal","Ségolène Royal","Marine Le Pen","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Olivier Besancenot","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","François Hollande","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Dupont-Aignan","Nicolas Sarkozy"
"A voté non","Listes Front de gauche - PC","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Listes PS","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Listes MoDem","François Bayrou","Ségolène Royal","Marine Le Pen","Nicolas Sarkozy"
"A voté oui","Listes PS","Ségolène Royal","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","François Hollande"
"A voté non","Abstention, blanc, nul, sans réponse","Frédéric Nihous / Philippe de Villiers","Nicolas Sarkozy","Nicolas Dupont-Aignan","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Ségolène Royal","Ségolène Royal","Nicolas Sarkozy","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","NA","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"A voté oui","Listes NPA","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Marine Le Pen","Blanc,nul, abstention, sans réponse"
"A voté oui","Abstention, blanc, nul, sans réponse","Olivier Besancenot","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes Front de gauche - PC","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","François Hollande"
"A voté non","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","NA","Nicolas Sarkozy"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Marine Le Pen","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","François Hollande"
