id,osmid,name,lanes
5618,38480474,Northgate Path,
5619,38480477,Scott Newhall Path,
5620,38480482,Harding Path,
5621,38690695,Shepherd Canyon Trail,
5622,38690759,Shepherd Canyon Trail,
5623,38693075,San Francisquito Creek Path,
5624,38806970,Oak Street,1
5625,38850768,Lawton Street,
5626,38850999,5th Avenue,
5627,38851010,Blairwood Lane,
5628,38895991,Centennial Drive,
5629,38895992,Centennial Drive,
5630,38898690,De Forest Way,
5631,38903503,Blue Oak Trail,
5632,38903507,Cordilleras Trail Connector,
5633,38903585,Cordilleras Trail,
5634,38903587,Bay Trail,
5635,38903622,Hassler Trail,
5636,38903737,Polly Geraci Trail,
5637,38903847,Dick Bishop Trail,
5638,38903969,Dusky-footed Woodrat Trail,
5639,38903970,Bay Trail,
5640,38903986,Hassler Loop Trail,
5641,38904029,Hassler Loop Trail,
5642,38904124,Hassler Loop Trail,
5643,38904822,Hassler Trail,
5644,38905097,North Ridge Trail,
5645,38905573,Whittemore Gulch Trail,
5646,38905605,Bay Trail,
5647,38939404,La Loma Foothill Bridge,
5648,39042130,Elevator Trail,
5649,39084709,Airport Boulevard,
5650,39084716,Airport Boulevard,
5651,39084721,Airport Boulevard,
5652,39084722,Airport Boulevard,
5653,39084723,Airport Boulevard,
5654,39158598,San Francisco Bay Trail,
5655,39158599,San Francisco Bay Trail,
5656,39158601,Union City Trail,
5657,39158605,Union City Trail,
5658,39158606,Union City Trail,
5659,39158607,Union City Trail,
5660,39158608,Union City Trail,
5661,39171173,Casitas Avenue,
5662,39186557,Upper Creek Trail,
5663,39187802,Chaparral Trail,
5664,39188266,Canyon Creek Trail,
5665,39188557,Finch Trail,
5666,39189052,Rambler Trail,
5667,39196519,John Brooks Trail,
5668,39198600,Berry Trail,
5669,39198736,John Brooks Trailhead,
5670,39201490,Stoddard Path,
5671,39201491,Glendale Path,
5672,39201492,Glendale Path,
5673,39205106,Burleigh-Murray Ranch Trail,
5674,39210848,Point Bonita Trail,
5675,39211276,Crestlake Drive,
5676,39333460,16th Avenue Tiled Steps,
5677,39657085,Oak Shade,
5678,39878171,John F Kennedy Drive,
5679,39878172,John F Kennedy Drive,
5680,39939457,French Trail,
5681,40037175,Orchard Trail,
5682,40107026,Lower Berry Trail,
5683,40317062,Eastin Court,
5684,40317271,Eastin Drive,
5685,40416254,Persia Avenue,
5686,40877609,San Raymundo Road,
5687,40995762,Gloden Spike Trail,
5688,40997372,Claremont Path,
5689,40997569,Redwood Park Entrance,
5690,41145537,Stream Trail,
5691,41230778,San Francisquito Creek Trail,
5692,41364286,Quintara Street,
5693,41364309,Quintara Street,
5694,41364503,14th Avenue,
5695,41364993,Funston Avenue,
5696,41367400,Pacheco Street,
5697,41367440,Pacheco Street,
5698,41367735,Magellan Avenue,
5699,41368180,Pacheco Street,
5700,41368195,Idora Avenue,
5701,41371818,Melrose Avenue,
5702,41373150,Moncada Way,
5703,41373161,Moncada Way,
5704,41373178,Portal Path,
5705,41373184,Terrace Drive,
5706,41373185,Terrace Walk,
5707,41379875,Innes Avenue,
5708,41379876,Kirkwood Avenue,
5709,41379882,Jamestown Avenue,
5710,41379886,City View Drive,
5711,41380022,Mission Street,
5712,41409971,Tiburon Boulevard,
5713,41412676,Tate Trail,
5714,41412677,Toyon Trail,
5715,41438482,Arlington Avenue,
5716,41657023,Bootjack Trail,
5717,41657024,Troup 80 Spur,
5718,41657025,Bootjack Spur,
5719,41657028,Plevin Cut,
5720,41742476,Redwood Peak Trail,
5721,41743244,Palo Coloranos,
5722,41743247,Orchard Trail,
5723,41743250,Big Trees Trail,
5724,41871662,Ohlone Greenway,
5725,42010049,Summit Loop Trail,
5726,42010083,Summit Loop Trail,
5727,42010116,Summit Loop Trail,
