lat,lon
-32.1,-71.3
-32.3,-71.2
-33.1,-71.4
-33.4,-71.35
-34,-71.5
-34.3,-71.55
-35,-72.1
-35.3,-72.3
-36,-72.4
-36.3,-72.5
-36.4,-73.5
-37.1,-73.5
-37.1,-73.3
-37.45,-73.4
-38.1,-73.25
-38.35,-73.25
-39,-73.2
-39.3,-73.15
-40,-73.4
-40.35,-73.4
-41,-73.5
-41.25,-73.45
-41.45,-73.35
-41.5,-73.1
-41.3,-73
-41.4,-72.3
-42,-72.45
-42.1,-72.3
-42.2,-72.45
-43,-72.45
-43.25,-73
-43.45,-72.5
-44.1,-73.1
-44.25,-73
-44.4,-73.25
-45,-73.2
-45.3,-73.35
-45.1,-73.4
-45,-73.5
-44.4,-73.35
-44.25,-73.4
-44.1,-73.3
-43.5,-73.5
-44.1,-74.15
-44.35,-74.3
-45,-74.2
-45.15,-74.3
-45.35,-74.4
-45.5,-74.3
-45.55,-75
-46.1,-74.45
-46.35,-75.3
-46.55,-75.3
-46.4,-75
-46.5,-74.3
-46.5,-74
-47.25,-74.25
-47.5,-74.3
-48.2,-74.3
-47.45,-74.55
-47.5,-75.2
-48.1,-75.25
-48.35,-75.25
-49.1,-75.35
-49.25,-75.25
-49.5,-75.3
-49.55,-75
-50.1,-75.2
-50.45,-75.2
-50,-74.3
-50.25,-74.4
-50.45,-74.3
-50.4,-74.5
-51.1,-75
-51.35,-75.2
-51.2,-74.3
-51,-74.2
-51.3,-74.1
-51.5,-74.2
-51.45,-75
-52.15,-75
-52.25,-74.3
-52.1,-74.1
-52.35,-74
-52.4,-73.3
-52.55,-73.3
-53.1,-73.1
-53.25,-72.3
-53.1,-72
-52.45,-71.3
-52.5,-71.5
-53.1,-71.2
-53.25,-72.15
-53.4,-72
-53.5,-71.15
-53.45,-70.55
-53.15,-70.55
-52.45,-70.45
-52.3,-70
-52.3,-69.35
-52.15,-69.3
-52.15,-69
-52.2,-68.2
-51.5,-68.5
-51.25,-69
-51,-69.1
-50.3,-69
-50.1,-68.3
-50,-67.5
-49.3,-67.4
-49,-67.3
-48.4,-67
-48.2,-66.2
-48,-65.5
-47.3,-65.4
-47.1,-65.45
-47.1,-66.3
-46.5,-67
-46.3,-67.25
-46,-67.3
-45.3,-67.1
-45.15,-66.5
-45,-66.1
-45,-65.35
-44.4,-65.35
-44.3,-65.1
-44,-65.1
-43.4,-65.15
-43.2,-65
-43,-64.2
-42.5,-65
-42.3,-64.3
-42.5,-64.1
-42.5,-63.4
-42.35,-63.35
-42.5,-63.45
-42.2,-64.3
-42.5,-65
-41.3,-65
-41,-65.1
-40.45,-64.5
-41,-64.2
-41.1,-63.5
-41.1,-63
-40.55,-62.2
-40.35,-62.15
-40.2,-62.25
-39.5,-62.1
-39.3,-62
-39.1,-62.2
-38.45,-62.15
-39,-62
-39,-61.15
-38.55,-60.3
-38.5,-60
-38.45,-59.2
-38.35,-58.4
-38.25,-58.1
-38.1,-57.35
-37.45,-57.25
-37.2,-57
-36.5,-56.4
-36.2,-56.45
-36.15,-57.1
-35.5,-57.25
-35.2,-57.1
-35,-57.3
-34.4,-58.2
-34.2,-58.3
-34,-58.2
-34.25,-57.5
-34.25,-57.1
-34.4,-56.5
-34.5,-56.15
-34.45,-55.4
-34.5,-55
-34.45,-54.3
-34.3,-54
-34.1,-53.35
-33.5,-53.3
-33.3,-53
-33,-52.35
-32.3,-52.25
-32.1,-52
-31.5,-51.3
-31.3,-51
-31,-50.4
-30.3,-50.2
-30,-50.1
-29.3,-49.5
-29,-49.25
-28.4,-49
-28.3,-48.45
-28,-48.35
-27.3,-48.3
-27,-48.35
-26.2,-48.35
-25.5,-48.35
-25.25,-48.1
-25,-47.45
-24.35,-47.15
-24.1,-46.5
-24,-46.2
-23.4,-45.45
-23.5,-45.25
-23.2,-45
-23.2,-44.3
-23,-44.4
-22.55,-44
-23,-43.3
-23,-43
-22.55,-42.3
-22.55,-42
-22.3,-42
-22.15,-41.3
-22,-41
-21.3,-41
-21,-40.5
-20.3,-40.2
-20,-40.1
-19.3,-39.4
-19,-39.35
-18.3,-39.35
-18,-39.3
-17.4,-39.1
-17.1,-39.1
-16.35,-39.5
-16,-38.55
-15.3,-39
-15,-39
-14.3,-39.5
-14,-39
-13.2,-38.55
-13,-38.25
-12.35,-38
-12,-37.35
-11.3,-37.2
-11,-37
-10.45,-36.45
-10.25,-36.15
-10,-36
-9.35,-35.35
-9.1,-35.2
-8.4,-35.5
-8.1,-34.5
-7.3,-34.45
-7,-34.5
-6.25,-35
-5.5,-35.1
-5.15,-35.25
-5.5,-36
-5.1,-36.3
-5.5,-37
-4.45,-37.2
-4.3,-37.5
-4.1,-38.1
-3.5,-38.3
-3.3,-39
-3.1,-39.3
-2.5,-40
-2.5,-40.3
-3,-41
-3,-41.3
-2.45,-42
-2.45,-42.3
-2.3,-43
-2.25,-43.3
-2.4,-44
-2.5,-44.35
-2.2,-44.25
-1.55,-44.4
-1.3,-44.5
-1.4,-45.2
-1.2,-45.3
-1.1,-46.1
-1,-46.4
-0.4,-47.15
-0.4,-47.5
-0.5,-48.1
-1.35,-48.3
-1.25,-48.45
-1,-48.35
-0.2,-48.25
-0.1,-49
-0.15,-49.3
-0.1,-50
-0.25,-50.25
-1,-50.25
-1.4,-50.35
-1,-50.5
-1.15,-51.25
-0.4,-51.2
-0.1,-51.1
0.1,-50.45
0.3,-50.25
1,-50
1.45,-49.55
1.5,-50.3
2.3,-50.4
3.1,-51
3.45,-51
4.15,-51.3
4.3,-51.5
4.5,-52.2
5.1,-52.45
5.25,-53.15
5.35,-53.4
5.4,-54
5.5,-54.3
5.55,-55
5.55,-55.3
5.5,-56
5.5,-56.3
5.55,-57.5
6.15,-57.2
6.3,-57.4
6.5,-58.1
6.45,-58.35
7.1,-58.3
7.35,-58.4
7.55,-59.1
8.15,-59.4
8.35,-60.15
8.25,-61
9,-60.5
9.3,-61
9.4,-61.35
9.5,-62
9.45,-62.2
10.1,-62.4
10.3,-63
10.4,-62.1
10.4,-62.45
10.4,-63.25
10.4,-64
10.15,-64.3
10.5,-65
10.1,-65.35
10.2,-66
10.35,-66.1
10.35,-66.35
10.3,-67
10.3,-67.35
10.25,-68.1
10.45,-68.2
11.1,-68.25
11.25,-68.5
11.3,-69.2
11.3,-69.45
12.1,-69.55
11.55,-70.2
11.3,-70.1
11.15,-70.35
11.5,-71
10.55,-71.25
10.2,-71.25
9.45,-71.5
9.1,-71.5
9,-71.4
9.25,-71.45
9.45,-72
10.15,-71.45
10.35,-71.3
11,-71.4
11.3,-71.55
11.4,-71.25
12.5,-71.1
12.2,-71.2
12.25,-71.4
12.1,-72
11.5,-72.15
11.4,-72.4
11.25,-73
11.1,-73.3
11.15,-74.1
10.55,-74.25
11,-74.5
10.5,-75.15
10.3,-75.3
10,-75.35
9.3,-75.35
9.25,-76
9,-76.15
8.35,-76.45
7.5,-76.45
8.2,-77.1
8.4,-77.3
9,-77.5
9.2,-78.15
9.25,-78.4
9.35,-79.5
9.35,-79.35
9.15,-79.5
9.5,-80.2
8.55,-80.5
8.45,-81.25
9,-81.45
9,-82.1
9.25,-82.2
9.4,-82.45
10,-83.1
10.25,-83.25
10.5,-83.4
11.15,-83.5
11.4,-83.4
12.1,-83.4
12.45,-83.3
13.15,-83.3
13.5,-83.3
14.15,-83.15
15,-83.15
15.1,-83.25
15.2,-83.5
15.45,-84.15
15.5,-84.4
15.55,-85
15.5,-85.3
15.55,-86
15.45,-86.3
15.4,-87
15.5,-87.35
15.35,-88.1
15.5,-88.35
16,-89
16.2,-88.3
17,-88.15
17.3,-88.15
18.2,-88.1
17.55,-87.55
18.25,-87.4
19,-87.35
19.3,-87.3
20,-87.25
20.3,-87.15
20.55,-86.5
21.2,-86.5
21.3,-87.5
21.3,-87.35
21.35,-88
21.3,-88.3
21.2,-89
21.15,-89.3
21.1,-90
21,-90.2
20.25,-90.25
20,-90.3
19.4,-90.4
19.15,-90.4
19.5,-91
18.5,-91.2
18.35,-91.15
18.25,-91.5
18.35,-91.5
18.4,-92.25
18.25,-93
18.2,-93.35
18.1,-94.1
18.1,-94.3
18.3,-94.5
18.4,-95.2
18.5,-95.5
19.15,-96.1
19.4,-96.25
20.1,-96.4
20.3,-97
20.5,-97.15
21.15,-97.25
21.35,-97.15
21.55,-97.45
22.25,-97.55
22.5,-97.45
23.2,-97.45
23.5,-97.45
24.2,-97.45
24.5,-97.35
25.2,-97.25
25.45,-97.1
26.1,-97.15
26.4,-97.15
27.1,-97.25
27.4,-97.2
28,-97
28.2,-96.3
28.4,-96
28.45,-95.3
29,-95.1
29.15,-94.5
29.4,-95.5
29.5,-94.45
29.25,-94.45
29.4,-94.15
29.45,-93.5
29.5,-93.15
29.4,-92.45
29.35,-92.15
29.5,-91.5
29.3,-91.2
29.1,-91.15
29.5,-90.45
29.1,-90.1
29.2,-89.5
29.15,-89.3
29,-89.15
29.1,-89.5
29.3,-89.35
29.4,-89.35
29.5,-89.2
30.5,-89.15
30.5,-89.4
30,-90.5
30.5,-90.25
30.3,-90.1
30.15,-89.4
30.3,-89.1
30.3,-88.45
30.25,-88.15
30.4,-88
30.2,-87.5
30.2,-87.2
30.25,-86.5
30.3,-86.2
30.15,-86
30.5,-85.3
29.4,-85.2
29.45,-84.5
30,-84.25
30.5,-83.55
29.45,-83.3
29.1,-83.5
29.5,-82.5
28.35,-82.4
28.1,-82.45
27.5,-82.45
27.55,-82.25
27.25,-82.35
27.5,-82.3
26.45,-82.1
26.2,-81.55
25.5,-81.4
25.3,-81.15
25.5,-81.5
25.1,-80.4
25.2,-80.25
25.5,-80.1
26.25,-80.5
27,-80.5
27.35,-80.2
28.1,-80.35
28.3,-80.35
29,-80.55
29.3,-81.5
30,-81.2
30.3,-81.25
31,-81.3
31.3,-81.15
32,-81
32.25,-80.3
32.4,-80
33,-79.3
33.2,-79.1
33.4,-78.55
33.55,-78.25
34,-78
34.2,-77.35
34.4,-77.1
34.45,-76.35
35,-76.2
35,-76.5
35.2,-76.2
35.2,-76
35.35,-75.5
35.55,-75.5
35.55,-76.15
35.55,-76.45
36.5,-76.2
36.1,-76
36.5,-75.45
35.45,-75.3
36.5,-75.45
36.3,-75.5
36.5,-76
37.1,-76.25
37.3,-76.25
37.55,-76.2
38.15,-76.55
38.1,-76.25
38.3,-76.3
39,-76.35
39.2,-76.25
39.3,-76
39.1,-76.1
38.5,-76.1
38.25,-76.2
38.15,-75.55
38,-76
38,-75.4
37.4,-75.5
37.1,-76
37.15,-75.45
37.45,-75.35
38.1,-75.15
38.25,-75
39,-75.25
39.3,-75.35
39.2,-75.15
39,-75
39.2,-74.3
39.5,-74.1
40.2,-74
40.3,-74.2
40.5,-74
41.5,-73.3
41.15,-73
41.15,-72.3
41.15,-72
41.25,-71.3
41.45,-71.2
41.3,-71.5
41.4,-70.4
41.3,-70.4
41.4,-70
42,-70
41.45,-70
41.45,-70.3
42.1,-70.4
42.2,-71
42.35,-70.45
42.5,-70.5
43.1,-70.35
43.3,-70.15
43.4,-70.15
43.5,-69.45
44,-69.1
44.25,-68.5
44.15,-68.35
44.25,-68
44.35,-67.3
44.5,-67
45.1,-67
45.1,-66.15
45.2,-65.35
45.4,-64.5
45.2,-64.55
45.25,-64.15
45.5,-64.55
44.55,-65.2
44.35,-65.55
44.1,-66.1
43.45,-66
43.3,-65.3
43.5,-65
44.1,-64.3
44.3,-64.1
44.3,-63.4
44.45,-63
45,-62
45.1,-61.1
45.3,-61
45.4,-60.25
46,-59.5
46.2,-60.3
46.5,-60.25
47,-60.4
46.35,-61
46.1,-61.3
45.45,-61.3
45.5,-62
45.4,-62.35
45.45,-63.15
46.5,-64
46.15,-64.35
46.45,-64.55
47.2,-65
47.45,-64.5
47.35,-65.4
48.5,-66.2
48.5,-65.2
48.15,-64.5
48.3,-64.15
48.5,-64.15
49.5,-64.35
49.15,-65.15
49.1,-66
49.5,-66.45
48.5,-67.25
48.4,-68
48.25,-68.4
48.5,-69.15
47.4,-69.4
47.2,-70.5
47,-70.3
46.5,-71.1
47.1,-70.45
47.3,-70.25
47.5,-70
48.1,-69.4
48.35,-69.15
48.55,-68.4
49.2,-68
49.2,-67.2
49.45,-67.1
50.5,-66.45
50.15,-66
50.15,-65.25
50.15,-64.45
50.2,-64
50.15,-63.25
50.15,-62.5
50.15,-62.1
50.5,-61.4
50.1,-60.55
50.1,-60
50.3,-59.3
50.5,-59.5
51.1,-58.4
51.25,-57.5
51.3,-56.5
51.5,-56.1
52.5,-55.4
52.45,-56
53.1,-55.5
53.4,-56.3
53.4,-57.15
54.5,-57.2
54.1,-58.2
54.3,-57.3
54.45,-58
54.5,-58.55
55.1,-59.15
55.15,-60.2
55.4,-60.3
55.55,-61.2
56.15,-61.45
56.45,-61.45
57.5,-61.2
57.2,-61.5
57.4,-61.5
58,-62.2
58.3,-62.5
59,-63.15
59.3,-63.5
60,-64.2
60.2,-64.4
60,-65.1
59.45,-65.35
59.25,-65.15
59,-65.4
58.45,-66.25
58.25,-66.45
58.1,-67.45
58.45,-68.25
58.5,-69
59.15,-69.3
59.35,-69.3
60.5,-69.25
60.3,-69.4
60.55,-69.3
61,-70.15
61,-71
61.15,-71.45
61.35,-71.3
61.5,-72.15
62.1,-72.55
62.25,-73.4
62.15,-74.5
62.15,-75.3
62.25,-76.25
62.3,-77.25
62.15,-78.5
61.5,-78.5
61.35,-77.3
61.1,-77.45
60.45,-78.5
60.3,-77.35
60,-77.25
59.35,-77.25
59.1,-77.55
59.5,-78.35
58.45,-78.4
58.25,-78.5
58.15,-77.3
57.4,-77.1
57.15,-77
56.4,-76.45
56,-76.45
55.35,-77.15
55.1,-78
54.5,-78.45
54.35,-79.3
54.1,-79.1
53.45,-78.55
53.1,-78.5
52.4,-78.5
52.1,-78.25
51.4,-79
51.2,-79.5
51,-79.45
51.2,-80.25
51.45,-80.45
52.5,-81.15
52.3,-81.4
52.55,-82.2
53.25,-82.1
53.5,-82.1
54.15,-82.25
55,-82.1
55.15,-83
55.15,-84
55.15,-85
55.4,-86
55.5,-86.5
56,-87.3
56.25,-88.5
56.45,-89
56.55,-90
57.15,-91
57.5,-91.45
56.55,-92.2
57.15,-92.2
57.4,-92.4
58.5,-92.4
58.4,-93.5
58.45,-93.45
58.4,-94.25
59.5,-94.45
59.35,-94.45
60.1,-94.4
60.35,-94.25
61,-94.1
61.3,-93.4
61.55,-93.1
62.5,-92.3
62.35,-92.3
62.45,-91.35
62.55,-90.35
63.25,-90.4
64,-90
64,-88.3
64.3,-87.45
65,-87
65.3,-87
66.1,-86
66.3,-86.45
66.35,-85.3
66.2,-85.5
66.1,-83.45
66.35,-82.4
67,-81.25
67.35,-81.1
67.5,-82.25
68.2,-82.25
68.35,-81.2
69.12,-81.2
69.2,-82.45
69.4,-82.55
69.5,-84.15
69.5,-85.3
69.2,-85.3
68.45,-85.25
68.1,-85.25
67.5,-86.3
67.25,-86.3
67.15,-87.15
67.5,-88.1
68.2,-88
68.45,-88
69.15,-88.55
68.35,-89.55
69.5,-90.4
69.3,-91.2
69.45,-92.25
70.1,-91.2
70.4,-91.55
71,-92.4
71.25,-93.3
71.55,-94.1
72.15,-93.3
72.35,-94
72.45,-93.5
72.45,-91.55
73.1,-91.2
73.35,-90.4
73.5,-90.1
74.1,-91.1
74.1,-93.1
74,-95.1
73.35,-95.35
73.1,-95.15
72.4,-95
72.15,-95
71.45,-95
71.3,-95.5
70.58,-96.15
70.25,-96.45
69.5,-95.4
69.25,-94
69,-94.4
68.3,-94.15
68,-95.1
67.59,-95.3
67.3,-95.5
67.49,-96.5
68.23,-96.55
68.45,-95.35
69.2,-96.25
69.5,-97.55
69.2,-98.35
69,-99.35
68.35,-98
68.15,-98.4
